        Frequency / GHz                S1,1 (T=0.9)/abs,dB
                 15.6496                      -3.8951696
                  15.676                      -3.9191571
                 15.7024                      -3.9457424
                 15.7288                      -3.9748914
                 15.7552                      -4.0065644
                 15.7816                      -4.0407138
                  15.808                      -4.0772876
                 15.8344                      -4.1162366
                 15.8608                      -4.1575038
                 15.8872                      -4.2010362
                 15.9136                       -4.246782
                   15.94                      -4.2946906
                 15.9664                      -4.3447141
                 15.9928                      -4.3968114
               16.019199                      -4.4509443
               16.045601                       -4.507082
               16.072001                      -4.5651971
                 16.0984                      -4.6252705
                 16.1248                      -4.6872933
               16.151199                      -4.7512578
               16.177601                      -4.8171641
                  16.204                      -4.8850211
                 16.2304                      -4.9548411
                 16.2568                       -5.026642
               16.283199                       -5.100444
               16.309601                      -5.1762755
                  16.336                      -5.2541598
                 16.3624                      -5.3341273
                 16.3888                       -5.416206
               16.415199                      -5.5004216
               16.441601                      -5.5867979
                  16.468                      -5.6753576
                 16.4944                      -5.7661137
                 16.5208                      -5.8590768
               16.547199                      -5.9542507
               16.573601                      -6.0516292
                    16.6                      -6.1511997
                 16.6264                      -6.2529397
                 16.6528                       -6.356819
               16.679199                      -6.4627962
               16.705601                      -6.5708197
                  16.732                      -6.6808305
                 16.7584                       -6.792762
                 16.7848                      -6.9065355
               16.811199                      -7.0220688
               16.837601                      -7.1392728
                  16.864                      -7.2580523
                 16.8904                       -7.378312
                 16.9168                       -7.499953
               16.943199                      -7.6228786
               16.969601                       -7.746994
                  16.996                      -7.8722104
                 17.0224                      -7.9984439
                 17.0488                      -8.1256242
               17.075199                      -8.2536885
               17.101601                      -8.3825921
                  17.128                      -8.5122998
                 17.1544                      -8.6428025
               17.180799                      -8.7741028
               17.207199                      -8.9062264
               17.233601                      -9.0392225
                   17.26                       -9.173158
                 17.2864                      -9.3081263
               17.312799                      -9.4442396
               17.339199                      -9.5816341
               17.365601                      -9.7204638
                  17.392                      -9.8609051
                 17.4184                       -10.00315
               17.444799                      -10.147407
               17.471201                        -10.2939
               17.497601                      -10.442859
                  17.524                      -10.594529
                 17.5504                      -10.749156
               17.576799                      -10.906989
               17.603201                      -11.068278
               17.629601                      -11.233268
                  17.656                      -11.402191
                 17.6824                      -11.575272
               17.708799                      -11.752717
               17.735201                      -11.934706
                 17.7616                      -12.121394
                  17.788                      -12.312904
                 17.8144                      -12.509312
               17.840799                      -12.710645
               17.867201                      -12.916875
                 17.8936                      -13.127897
                   17.92                      -13.343526
                 17.9464                       -13.56348
               17.972799                      -13.787361
               17.999201                      -14.014639
                 18.0256                      -14.244634
                  18.052                      -14.476486
                 18.0784                      -14.709143
               18.104799                      -14.941328
               18.131201                       -15.17153
                 18.1576                      -15.397973
                  18.184                      -15.618621
                 18.2104                      -15.831172
               18.236799                       -16.03308
               18.263201                      -16.221594
                 18.2896                      -16.393821
                  18.316                      -16.546816
                 18.3424                      -16.677705
               18.368799                      -16.783816
               18.395201                      -16.862836
                 18.4216                       -16.91295
                  18.448                      -16.932969
                 18.4744                      -16.922421
               18.500799                      -16.881581
               18.527201                      -16.811462
