        Frequency / GHz                S1,1 (Lf=9.75)/abs,dB
                 18.5536                      -13.232646
                   18.58                      -12.938901
                 18.6064                      -12.651175
               18.632799                      -12.370278
               18.659201                      -12.096849
                 18.6856                      -11.831375
                  18.712                      -11.574222
                 18.7384                      -11.325646
               18.764799                      -11.085813
               18.791201                      -10.854816
                 18.8176                      -10.632684
                  18.844                      -10.419395
               18.870399                      -10.214878
               18.896799                       -10.01903
               18.923201                      -9.8317127
                 18.9496                      -9.6527642
                  18.976                      -9.4819973
               19.002399                      -9.3192065
               19.028799                      -9.1641729
               19.055201                      -9.0166603
                 19.0816                      -8.8764204
                  19.108                      -8.7431977
               19.134399                      -8.6167261
               19.160801                      -8.4967332
               19.187201                      -8.3829395
                 19.2136                      -8.2750633
                   19.24                      -8.1728154
               19.266399                      -8.0759068
               19.292801                      -7.9840481
               19.319201                      -7.8969456
                 19.3456                      -7.8143092
                  19.372                      -7.7358517
               19.398399                      -7.6612847
               19.424801                       -7.590329
                 19.4512                      -7.5227076
                 19.4776                      -7.4581507
                  19.504                      -7.3963956
               19.530399                      -7.3371902
               19.556801                       -7.280292
                 19.5832                      -7.2254654
                 19.6096                      -7.1724914
                  19.636                      -7.1211623
               19.662399                      -7.0712813
               19.688801                      -7.0226678
                 19.7152                       -6.975155
                 19.7416                      -6.9285902
                  19.768                      -6.8828336
               19.794399                      -6.8377616
               19.820801                      -6.7932656
                 19.8472                      -6.7492475
                 19.8736                       -6.705626
                    19.9                      -6.6623306
               19.926399                      -6.6193011
               19.952801                      -6.5764912
                 19.9792                      -6.5338627
                 20.0056                      -6.4913869
                  20.032                      -6.4490457
               20.058399                      -6.4068238
               20.084801                      -6.3647159
                 20.1112                      -6.3227213
                 20.1376                      -6.2808434
                  20.164                       -6.239091
               20.190399                       -6.197476
               20.216801                      -6.1560129
                 20.2432                      -6.1147188
                 20.2696                      -6.0736147
                  20.296                      -6.0327208
               20.322399                      -5.9920635
               20.348801                      -5.9516664
                 20.3752                      -5.9115598
                 20.4016                      -5.8717704
               20.427999                       -5.832331
               20.454399                      -5.7932746
               20.480801                      -5.7546363
                 20.5072                      -5.7164548
                 20.5336                      -5.6787663
               20.559999                      -5.6416144
               20.586399                      -5.6050415
               20.612801                      -5.5690914
                 20.6392                       -5.533809
                 20.6656                      -5.4992383
               20.691999                      -5.4654275
               20.718399                       -5.432424
               20.744801                      -5.4002676
                 20.7712                      -5.3690066
                 20.7976                      -5.3386782
               20.823999                       -5.309323
               20.850401                      -5.2809722
               20.876801                      -5.2536586
