        Frequency / GHz                S1,1 (S=0.9)/abs,dB
                 19.8472                      -9.6792408
                 19.8736                      -9.7394287
                    19.9                      -9.7973134
               19.926399                      -9.8530643
               19.952801                      -9.9069932
                 19.9792                      -9.9595374
                 20.0056                      -10.011222
                  20.032                      -10.062627
               20.058399                      -10.114341
               20.084801                      -10.166924
                 20.1112                       -10.22086
                 20.1376                      -10.276533
                  20.164                      -10.334196
               20.190399                      -10.393953
               20.216801                      -10.455766
                 20.2432                      -10.519445
                 20.2696                      -10.584678
                  20.296                      -10.651057
               20.322399                      -10.718112
               20.348801                      -10.785361
                 20.3752                      -10.852356
                 20.4016                      -10.918732
               20.427999                      -10.984257
               20.454399                      -11.048866
               20.480801                      -11.112696
                 20.5072                      -11.176096
                 20.5336                      -11.239625
               20.559999                      -11.304036
               20.586399                      -11.370246
               20.612801                      -11.439292
                 20.6392                       -11.51227
                 20.6656                      -11.590284
               20.691999                      -11.674376
               20.718399                      -11.765458
               20.744801                      -11.864254
                 20.7712                      -11.971226
                 20.7976                      -12.086518
               20.823999                      -12.209896
               20.850401                       -12.34069
               20.876801                      -12.477743
