        Frequency / GHz                S1,1/abs,dB
               6,5665998                      -13,323918
               6,5815001                      -13,203895
               6,5963998                      -13,087317
                  6,6113                       -12,97447
               6,6262002                       -12,86566
               6,6410999                      -12,761207
               6,6560001                      -12,661433
               6,6708999                      -12,566651
               6,6858001                      -12,477154
               6,7006998                      -12,393214
                  6,7156                      -12,315062
               6,7305002                      -12,242889
                  6,7454                      -12,176833
               6,7603002                      -12,116984
               6,7751999                      -12,063368
               6,7901001                      -12,015961
               6,8049998                      -11,974679
                  6,8199                       -11,93938
               6,8347998                       -11,90988
                  6,8497                      -11,885942
               6,8646002                      -11,867296
               6,8794999                      -11,853644
               6,8944001                      -11,844665
               6,9092999                      -11,840034
               6,9242001                      -11,839429
               6,9390998                      -11,842538
                   6,954                      -11,849081
               6,9689002                      -11,858809
               6,9837999                      -11,871519
               6,9987001                      -11,887064
               7,0135999                      -11,905353
               7,0285001                      -11,926354
               7,0433998                        -11,9501
                  7,0583                      -11,976686
               7,0732002                       -12,00626
                  7,0881                      -12,039021
               7,1030002                      -12,075212
               7,1178999                      -12,115104
               7,1328001                      -12,158993
               7,1476998                      -12,207185
                  7,1626                      -12,259985
               7,1774998                      -12,317687
                  7,1924                      -12,380568
               7,2073002                      -12,448875
               7,2221999                      -12,522822
               7,2371001                      -12,602588
               7,2519999                      -12,688311
               7,2669001                      -12,780094
               7,2817998                      -12,878005
                  7,2967                      -12,982085
               7,3116002                      -13,092356
               7,3264999                      -13,208835
               7,3414001                      -13,331544
               7,3562999                      -13,460531
               7,3712001                      -13,595882
               7,3860998                      -13,737746
                   7,401                      -13,886349
               7,4159002                      -14,042016
                  7,4308                       -14,20519
               7,4457002                      -14,376455
               7,4605999                      -14,556539
               7,4755001                      -14,746347
               7,4903998                      -14,946964
                  7,5053                      -15,159668
               7,5201998                       -15,38595
                  7,5351                      -15,627519
               7,5500002                      -15,886327
               7,5648999                      -16,164581
               7,5798001                      -16,464775
               7,5946999                      -16,789725
               7,6096001                       -17,14262
               7,6244998                      -17,527091
                  7,6394                      -17,947305
               7,6543002                      -18,408099
               7,6691999                      -18,915155
               7,6841002                      -19,475261
               7,6989999                      -20,096657
               7,7139001                      -20,789554
               7,7287998                      -21,566874
                  7,7437                      -22,445374
               7,7586002                      -23,447368
                  7,7735                      -24,603443
               7,7884002                      -25,956833
