freq	dB(S11_fitted)
2.05357142853125030E9	-3.70329127627241528E0
2.07142857137500025E9	-3.68801372979920927E0
2.08928571421875020E9	-3.67295671771292476E0
2.10714285706250015E9	-3.65823973560214988E0
2.12499999990625010E9	-3.64396341976773730E0
2.14285714275000005E9	-3.63021173566247324E0
2.16071428559375001E9	-3.61705398056580352E0
2.17857142843749951E9	-3.60454659939363076E0
2.19642857128124991E9	-3.59273481840650399E0
2.21428571412499986E9	-3.58165410551256880E0
2.23214285696875026E9	-3.57133146832026416E0
2.24999999981249932E9	-3.56178660244732948E0
2.26785714265624971E9	-3.55303290314201181E0
2.28571428550000011E9	-3.54507835324685106E0
2.32142857118750001E9	-3.53157613348737742E0
2.35714285687499991E9	-3.52126269189657348E0
2.39285714256250026E9	-3.51407453966244443E0
2.42857142824999972E9	-3.50991531971781079E0
2.46428571393750051E9	-3.50866578240976690E0
2.49999999962499997E9	-3.51019118777233619E0
2.53571428531249987E9	-3.51434677818557173E0
2.57142857100000022E9	-3.52098182030459839E0
2.60714285668750012E9	-3.52994259919984410E0
2.64285714237500047E9	-3.54107465643684050E0
2.67857142806249993E9	-3.55422449283683228E0
2.71428571374999983E9	-3.56924090177069608E0
2.74999999943750018E9	-3.58597605652705109E0
2.78571428512500008E9	-3.60428644269387544E0
2.82142857081249954E9	-3.62403370132961911E0
2.85714285649999988E9	-3.64508542921177447E0
2.89285714218749979E9	-3.66731596729038811E0
2.92857142787500013E9	-3.69060719662267367E0
2.96428571356249959E9	-3.71484935175736997E0
2.99999999924999994E9	-3.73994185420378811E0
3.03571428493749984E9	-3.76579416283269142E0
3.07142857062500019E9	-3.79232663349477317E0
3.10714285631250009E9	-3.81947137655780322E0
3.14285714199999955E9	-3.84717309826324083E0
3.21428571349999981E9	-3.90409408497002852E0
3.28571428500000007E9	-3.96292848208319093E0
3.35714285649999988E9	-4.02376148824195301E0
3.42857142800000014E9	-4.08693766542132408E0
3.46428571375000027E9	-4.11958400511969458E0
3.49999999949999951E9	-4.15306380284629562E0
3.53571428524999964E9	-4.18749213554451671E0
3.57142857099999977E9	-4.22299820711072993E0
3.60714285675000079E9	-4.25972398419093601E0
3.64285714249999959E9	-4.29782244269306535E0
3.67857142824999972E9	-4.33745537768272449E0
3.71428571400000029E9	-4.37879072530474911E0
3.74999999975000042E9	-4.42199934200484090E0
3.78571428549999922E9	-4.46725118427314083E0
3.82142857125000024E9	-4.51471083227135850E0
3.85714285700000037E9	-4.56453230418050193E0
3.89285714275000050E9	-4.61685311635939488E0
3.92857142850000063E9	-4.67178755920887401E0
3.96428571424999987E9	-4.72941918210069900E0
4.00000000000000000E9	-4.78979251526017524E0
4.03571428575000013E9	-4.85290410468304767E0
4.07142857149999937E9	-4.91869300058860404E0
4.10714285724999950E9	-4.98703092272548787E0
4.14285714299999874E9	-5.05771242822993461E0
4.17857142874999976E9	-5.13044552902483186E0
4.21428571449999989E9	-5.20484334231528845E0
4.25000000025000002E9	-5.28041750162419810E0
4.28571428600000015E9	-5.35657419327489670E0
4.35714285737499996E9	-5.50773513634663026E0
4.42857142874999976E9	-5.65157650463572736E0
4.50000000012500045E9	-5.78019924867742230E0
4.57142857149999848E9	-5.88540795186021892E0
4.64285714287500006E9	-5.95993276110585146E0
4.71428571425000076E9	-5.99878735986113298E0
4.78571428562500056E9	-6.00038098244145068E0
4.85714285700000126E9	-5.96699944153785378E0
4.92857142850000152E9	-5.90446426290055015E0
5.00000000000000000E9	-5.82108277474389180E0
5.07142857149999848E9	-5.72623975838166910E0
5.14285714299999874E9	-5.62903184584919725E0
5.19642857149999848E9	-5.55931648219672869E0
5.25000000000000000E9	-5.49525508132410678E0
5.30357142850000152E9	-5.43873619523455609E0
5.35714285700000126E9	-5.39095596866315940E0
5.41071428550000100E9	-5.35244940430192351E0
5.46428571400000074E9	-5.32314475368083961E0
5.51785714249999959E9	-5.30242920364197090E0
5.57142857100000022E9	-5.28921762969404874E0
5.62499999962499952E9	-5.28201956058196842E0
5.67857142825000061E9	-5.27900239673028260E0
5.73214285687499991E9	-5.27805131544459449E0
5.78571428550000100E9	-5.27682822785670158E0
5.83928571412500119E9	-5.27283366548645738E0
5.89285714274999872E9	-5.26347654360958739E0
5.94642857137500158E9	-5.24615724862313826E0
6.00000000000000000E9	-5.21836919602973648E0
6.05357142850000152E9	-5.17782259447362847E0
6.10714285700000126E9	-5.12259131846973670E0
