        Frequency / GHz                S1,1 (wf=3.96)/abs,dB
                 15.7552                      -8.5816825
                 15.7816                      -8.6231285
                  15.808                      -8.6587552
                 15.8344                      -8.6879764
                 15.8608                      -8.7102636
                 15.8872                       -8.725166
                 15.9136                      -8.7323234
                   15.94                      -8.7314823
                 15.9664                      -8.7224975
                 15.9928                      -8.7053335
               16.019199                      -8.6800621
               16.045601                      -8.6468519
               16.072001                      -8.6059552
                 16.0984                      -8.5576955
                 16.1248                       -8.502452
               16.151199                      -8.4406484
               16.177601                      -8.3727397
                  16.204                       -8.299204
                 16.2304                      -8.2205386
                 16.2568                       -8.137255
               16.283199                      -8.0498771
               16.309601                      -7.9589461
                  16.336                      -7.8650125
                 16.3624                      -7.7686508
                 16.3888                      -7.6704436
               16.415199                      -7.5709885
               16.441601                      -7.4708907
                  16.468                       -7.370755
                 16.4944                      -7.2711754
                 16.5208                      -7.1727235
               16.547199                      -7.0759327
               16.573601                      -6.9812871
                    16.6                      -6.8892004
                 16.6264                      -6.8000077
                 16.6528                      -6.7139499
               16.679199                      -6.6311618
               16.705601                      -6.5516691
                  16.732                      -6.4753827
                 16.7584                      -6.4021027
                 16.7848                      -6.3315247
               16.811199                      -6.2632528
               16.837601                      -6.1968178
                  16.864                       -6.131701
                 16.8904                      -6.0673606
                 16.9168                      -6.0032601
               16.943199                      -5.9389058
               16.969601                      -5.8738706
                  16.996                      -5.8078259
                 17.0224                      -5.7405646
                 17.0488                      -5.6720158
               17.075199                      -5.6022533
               17.101601                      -5.5314965
                  17.128                      -5.4600971
                 17.1544                      -5.3885231
               17.180799                      -5.3173372
               17.207199                       -5.247161
               17.233601                      -5.1786506
                   17.26                      -5.1124574
                 17.2864                      -5.0492054
               17.312799                      -4.9894576
               17.339199                      -4.9336972
               17.365601                      -4.8823077
                  17.392                      -4.8355648
                 17.4184                      -4.7936268
               17.444799                      -4.7565371
               17.471201                      -4.7242273
               17.497601                      -4.6965298
                  17.524                      -4.6731913
                 17.5504                      -4.6538868
               17.576799                      -4.6382435
               17.603201                      -4.6258554
               17.629601                      -4.6163108
                  17.656                      -4.6092048
                 17.6824                      -4.6041597
               17.708799                      -4.6008378
               17.735201                      -4.5989562
                 17.7616                      -4.5982869
                  17.788                      -4.5986644
                 17.8144                      -4.5999801
               17.840799                      -4.6021866
               17.867201                      -4.6052827
                 17.8936                      -4.6093069
                   17.92                      -4.6143342
                 17.9464                      -4.6204629
               17.972799                      -4.6278107
               17.999201                      -4.6365057
                 18.0256                      -4.6466904
                  18.052                      -4.6585116
                 18.0784                      -4.6721282
               18.104799                      -4.6877102
               18.131201                      -4.7054435
                 18.1576                      -4.7255272
                  18.184                      -4.7481825
                 18.2104                        -4.77365
               18.236799                      -4.8021921
               18.263201                      -4.8340832
                 18.2896                       -4.869615
                  18.316                      -4.9090829
                 18.3424                      -4.9527786
               18.368799                      -5.0009845
               18.395201                       -5.053959
                 18.4216                      -5.1119296
                  18.448                      -5.1750827
                 18.4744                      -5.2435557
               18.500799                      -5.3174306
               18.527201                      -5.3967364
                 18.5536                      -5.4814378
                   18.58                      -5.5714497
                 18.6064                      -5.6666364
               18.632799                      -5.7668199
               18.659201                      -5.8717943
                 18.6856                      -5.9813325
                  18.712                      -6.0952089
                 18.7384                      -6.2132026
               18.764799                      -6.3351156
               18.791201                      -6.4607838
                 18.8176                      -6.5900786
                  18.844                      -6.7229187
               18.870399                       -6.859264
               18.896799                      -6.9991103
               18.923201                      -7.1424855
                 18.9496                      -7.2894283
                  18.976                      -7.4399834
               19.002399                      -7.5941718
               19.028799                      -7.7519856
               19.055201                      -7.9133624
                 19.0816                      -8.0781722
                  19.108                      -8.2462117
               19.134399                      -8.4171957
               19.160801                      -8.5907561
               19.187201                      -8.7664561
                 19.2136                         -8.9438
                   19.24                      -9.1222508
               19.266399                      -9.3012665
               19.292801                      -9.4803179
               19.319201                      -9.6589285
                 19.3456                      -9.8366998
                  19.372                      -10.013334
               19.398399                      -10.188652
               19.424801                      -10.362597
                 19.4512                      -10.535228
                 19.4776                      -10.706696
                  19.504                      -10.877218
               19.530399                      -11.047023
               19.556801                      -11.216301
                 19.5832                      -11.385145
                 19.6096                      -11.553488
                  19.636                      -11.721044
               19.662399                      -11.887258
               19.688801                      -12.051268
                 19.7152                      -12.211888
                 19.7416                      -12.367606
                  19.768                      -12.516617
               19.794399                      -12.656882
               19.820801                      -12.786224
                 19.8472                      -12.902446
                 19.8736                       -13.00347
                    19.9                      -13.087488
               19.926399                      -13.153102
               19.952801                      -13.199436
                 19.9792                      -13.226213
                 20.0056                      -13.233772
                  20.032                      -13.223038
               20.058399                      -13.195438
               20.084801                      -13.152787
                 20.1112                      -13.097151
                 20.1376                      -13.030719
                  20.164                      -12.955678
               20.190399                      -12.874112
               20.216801                      -12.787937
                 20.2432                      -12.698856
                 20.2696                      -12.608337
                  20.296                      -12.517612
               20.322399                      -12.427692
               20.348801                      -12.339382
                 20.3752                      -12.253302
                 20.4016                      -12.169906
               20.427999                      -12.089497
               20.454399                      -12.012226
               20.480801                      -11.938102
                 20.5072                      -11.866975
                 20.5336                       -11.79854
               20.559999                      -11.732313
               20.586399                       -11.66763
               20.612801                      -11.603646
                 20.6392                       -11.53934
                 20.6656                      -11.473535
               20.691999                       -11.40494
               20.718399                      -11.332198
               20.744801                      -11.253964
                 20.7712                      -11.168971
                 20.7976                      -11.076131
               20.823999                      -10.974612
               20.850401                       -10.86391
               20.876801                      -10.743901
                 20.9032                      -10.614861
                 20.9296                      -10.477462
               20.955999                      -10.332732
               20.982401                      -10.181988
               21.008801                      -10.026752
                 21.0352                      -9.8686655
                 21.0616                      -9.7093872
               21.087999                      -9.5505184
               21.114401                      -9.3935287
                 21.1408                      -9.2397046
                 21.1672                      -9.0901174
                 21.1936                      -8.9456062
               21.219999                      -8.8067829
               21.246401                      -8.6740491
                 21.2728                      -8.5476253
                 21.2992                      -8.4275884
                 21.3256                      -8.3139166
               21.351999                      -8.2065361
               21.378401                      -8.1053655
                 21.4048                      -8.0103552
                 21.4312                      -7.9215262
                 21.4576                      -7.8389871
               21.483999                       -7.762954
               21.510401                      -7.6937457
                 21.5368                      -7.6317759
                 21.5632                      -7.5775308
                 21.5896                      -7.5315387
               21.615999                      -7.4943287
               21.642401                      -7.4663947
                 21.6688                      -7.4481498
                 21.6952                      -7.4398857
                 21.7216                      -7.4417344
               21.747999                      -7.4536372
               21.774401                      -7.4753234
                 21.8008                      -7.5062943
                 21.8272                      -7.5458221
                 21.8536                      -7.5929631
               21.879999                      -7.6465842
               21.906401                      -7.7054029
                 21.9328                       -7.768045
                 21.9592                      -7.8331152
                 21.9856                      -7.8992715
               22.011999                      -7.9653091
               22.038401                      -8.0302421
                 22.0648                      -8.0933669
                 22.0912                      -8.1543166
               22.117599                      -8.2130833
               22.143999                      -8.2700195
               22.170401                      -8.3258073
                 22.1968                      -8.3814136
                 22.2232                      -8.4380086
               22.249599                      -8.4968954
               22.275999                      -8.5594238
               22.302401                      -8.6269093
                 22.3288                      -8.7005701
                 22.3552                      -8.7814713
               22.381599                      -8.8704855
               22.408001                      -8.9682765
               22.434401                      -9.0752928
                 22.4608                      -9.1917789
                 22.4872                      -9.3178001
               22.513599                      -9.4532739
               22.540001                      -9.5980103
               22.566401                      -9.7517522
                 22.5928                      -9.9142204
                 22.6192                      -10.085142
               22.645599                      -10.264276
               22.672001                      -10.451423
                 22.6984                      -10.646421
                 22.7248                      -10.849107
                 22.7512                      -11.059279
               22.777599                      -11.276628
               22.804001                      -11.500659
                 22.8304                      -11.730597
                 22.8568                      -11.965307
                 22.8832                      -12.203208
               22.909599                      -12.442219
               22.936001                      -12.679742
                 22.9624                      -12.912702
                 22.9888                      -13.137657
                 23.0152                      -13.350991
               23.041599                      -13.549183
               23.068001                      -13.729136
                 23.0944                      -13.888528
                 23.1208                      -14.026125
                 23.1472                      -14.142008
               23.173599                      -14.237656
               23.200001                      -14.315879
                 23.2264                      -14.380615
                 23.2528                      -14.436619
                 23.2792                       -14.48913
               23.305599                      -14.543537
               23.332001                       -14.60511
                 23.3584                      -14.678811
                 23.3848                      -14.769174
                 23.4112                      -14.880268
               23.437599                      -15.015716
               23.464001                      -15.178766
                 23.4904                      -15.372388
                 23.5168                      -15.599411
                 23.5432                      -15.862671
               23.569599                      -16.165198
               23.596001                      -16.510404
                 23.6224                      -16.902339
                 23.6488                      -17.345961
                 23.6752                      -17.847504
               23.701599                      -18.414936
               23.728001                      -19.058591
                 23.7544                      -19.792079
                 23.7808                      -20.633634
               23.807199                      -21.608253
               23.833599                      -22.751201
               23.860001                      -24.114077
                 23.8864                      -25.775713
                 23.9128                      -27.861795
               23.939199                      -30.572228
               23.965599                      -34.105205
               23.992001                      -37.202224
                 24.0184                      -35.299102
                 24.0448                      -31.489756
               24.071199                      -28.435612
               24.097601                      -26.091209
               24.124001                      -24.233522
                 24.1504                      -22.716289
                 24.1768                      -21.448804
               24.203199                      -20.372617
               24.229601                       -19.44821
               24.256001                      -18.647643
                 24.2824                      -17.950341
                 24.3088                        -17.3406
               24.335199                      -16.806016
               24.361601                      -16.336493
                  24.388                      -15.923559
                 24.4144                      -15.559918
                 24.4408                      -15.239118
               24.467199                      -14.955326
               24.493601                      -14.703159
                   24.52                      -14.477568
                 24.5464                      -14.273763
                 24.5728                      -14.087159
               24.599199                      -13.913367
               24.625601                      -13.748201
                  24.652                      -13.587725
                 24.6784                      -13.428314
                 24.7048                      -13.266749
               24.731199                      -13.100305
               24.757601                      -12.926871
                  24.784                      -12.745021
                 24.8104                       -12.55409
