"wgnd
References : ['dB(S(1,1))']
Dependency : [wgnd]
Num. Points : [7]
Matrix Size : scalar
Type : Real","freq
References : ['dB(S(1,1))']
Dependency : [wgnd,freq]
Num. Points : [7,1491]
Matrix Size : scalar
Type : Real","dB(S(1,1))
References : []
Dependency : [wgnd,freq]
Num. Points : [7,1491]
Matrix Size : scalar
Type : Real"
15.200,6.060 GHz,-5.195
15.200,6.070 GHz,-5.192
15.200,6.080 GHz,-5.189
15.200,6.090 GHz,-5.186
15.200,6.100 GHz,-5.184
15.200,6.110 GHz,-5.183
15.200,6.120 GHz,-5.182
15.200,6.130 GHz,-5.182
15.200,6.140 GHz,-5.183
15.200,6.150 GHz,-5.184
15.200,6.160 GHz,-5.185
15.200,6.170 GHz,-5.187
15.200,6.180 GHz,-5.190
15.200,6.190 GHz,-5.193
15.200,6.200 GHz,-5.197
15.200,6.210 GHz,-5.201
15.200,6.220 GHz,-5.206
15.200,6.230 GHz,-5.212
15.200,6.240 GHz,-5.218
15.200,6.250 GHz,-5.225
15.200,6.260 GHz,-5.232
15.200,6.270 GHz,-5.239
15.200,6.280 GHz,-5.247
15.200,6.290 GHz,-5.256
15.200,6.300 GHz,-5.264
15.200,6.310 GHz,-5.274
15.200,6.320 GHz,-5.284
15.200,6.330 GHz,-5.294
15.200,6.340 GHz,-5.305
15.200,6.350 GHz,-5.317
15.200,6.360 GHz,-5.328
15.200,6.370 GHz,-5.341
15.200,6.380 GHz,-5.353
15.200,6.390 GHz,-5.367
15.200,6.400 GHz,-5.380
15.200,6.410 GHz,-5.394
15.200,6.420 GHz,-5.409
15.200,6.430 GHz,-5.424
15.200,6.440 GHz,-5.439
15.200,6.450 GHz,-5.455
15.200,6.460 GHz,-5.472
15.200,6.470 GHz,-5.488
15.200,6.480 GHz,-5.505
15.200,6.490 GHz,-5.523
15.200,6.500 GHz,-5.541
15.200,6.510 GHz,-5.559
15.200,6.520 GHz,-5.578
15.200,6.530 GHz,-5.597
15.200,6.540 GHz,-5.616
15.200,6.550 GHz,-5.636
15.200,6.560 GHz,-5.656
15.200,6.570 GHz,-5.677
15.200,6.580 GHz,-5.698
15.200,6.590 GHz,-5.719
15.200,6.600 GHz,-5.741
15.200,6.610 GHz,-5.763
15.200,6.620 GHz,-5.785
15.200,6.630 GHz,-5.807
15.200,6.640 GHz,-5.830
15.200,6.650 GHz,-5.853
15.200,6.660 GHz,-5.877
15.200,6.670 GHz,-5.900
15.200,6.680 GHz,-5.924
15.200,6.690 GHz,-5.948
15.200,6.700 GHz,-5.973
15.200,6.710 GHz,-5.997
15.200,6.720 GHz,-6.022
15.200,6.730 GHz,-6.047
15.200,6.740 GHz,-6.073
15.200,6.750 GHz,-6.098
15.200,6.760 GHz,-6.124
15.200,6.770 GHz,-6.149
15.200,6.780 GHz,-6.175
15.200,6.790 GHz,-6.201
15.200,6.800 GHz,-6.227
15.200,6.810 GHz,-6.254
15.200,6.820 GHz,-6.280
15.200,6.830 GHz,-6.306
15.200,6.840 GHz,-6.333
15.200,6.850 GHz,-6.359
15.200,6.860 GHz,-6.386
15.200,6.870 GHz,-6.412
15.200,6.880 GHz,-6.438
15.200,6.890 GHz,-6.465
15.200,6.900 GHz,-6.491
15.200,6.910 GHz,-6.517
15.200,6.920 GHz,-6.544
15.200,6.930 GHz,-6.570
15.200,6.940 GHz,-6.596
15.200,6.950 GHz,-6.621
15.200,6.960 GHz,-6.647
15.200,6.970 GHz,-6.672
15.200,6.980 GHz,-6.697
15.200,6.990 GHz,-6.722
15.200,7.000 GHz,-6.747
15.200,7.010 GHz,-6.772
