"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+1,64700255000E+010; -8,61350371780E+000; +0,00000000000E+000
+1,65600240000E+010; -8,52133823511E+000; +0,00000000000E+000
+1,66500225000E+010; -6,63163923298E+000; +0,00000000000E+000
+1,67400210000E+010; -6,20434923906E+000; +0,00000000000E+000
+1,68300195000E+010; -6,09154126201E+000; +0,00000000000E+000
+1,69200180000E+010; -5,55309501824E+000; +0,00000000000E+000
+1,70100165000E+010; -6,24029234400E+000; +0,00000000000E+000
+1,71000150000E+010; -6,27169934825E+000; +0,00000000000E+000
+1,71900135000E+010; -5,73395477610E+000; +0,00000000000E+000
+1,72800120000E+010; -4,97466587125E+000; +0,00000000000E+000
+1,73700105000E+010; -4,75452033899E+000; +0,00000000000E+000
+1,74600090000E+010; -5,45886570218E+000; +0,00000000000E+000
+1,75500075000E+010; -5,82673368543E+000; +0,00000000000E+000
+1,76400060000E+010; -6,16184277676E+000; +0,00000000000E+000
+1,77300045000E+010; -6,81334360896E+000; +0,00000000000E+000
+1,78200030000E+010; -5,40508134871E+000; +0,00000000000E+000
+1,79100015000E+010; -4,74074740017E+000; +0,00000000000E+000
+1,80000000000E+010; -4,00122364922E+000; +0,00000000000E+000
