        Frequency / GHz                S1,1 (1)/abs,dB
               17.708799                      -26.577828
               17.735201                      -25.352218
                 17.7616                      -24.284787
                  17.788                      -23.341532
                 17.8144                      -22.498531
               17.840799                      -21.738275
               17.867201                      -21.047532
                 17.8936                      -20.416028
                   17.92                      -19.835593
                 17.9464                      -19.299605
               17.972799                      -18.802593
               17.999201                      -18.339969
                 18.0256                      -17.907829
                  18.052                      -17.502809
                 18.0784                      -17.121979
               18.104799                      -16.762765
               18.131201                      -16.422886
                 18.1576                      -16.100306
                  18.184                      -15.793208
                 18.2104                      -15.499957
               18.236799                      -15.219088
               18.263201                      -14.949288
                 18.2896                      -14.689383
                  18.316                      -14.438331
                 18.3424                      -14.195216
               18.368799                      -13.959237
               18.395201                      -13.729712
                 18.4216                      -13.506063
                  18.448                      -13.287817
                 18.4744                      -13.074597
               18.500799                      -12.866125
               18.527201                      -12.662202
                 18.5536                      -12.462712
                   18.58                      -12.267608
                 18.6064                      -12.076912
               18.632799                      -11.890698
               18.659201                      -11.709092
                 18.6856                      -11.532259
                  18.712                      -11.360395
                 18.7384                      -11.193727
               18.764799                      -11.032497
               18.791201                      -10.876962
                 18.8176                      -10.727385
                  18.844                      -10.584033
               18.870399                      -10.447169
               18.896799                      -10.317053
               18.923201                      -10.193933
                 18.9496                       -10.07805
                  18.976                      -9.9696288
               19.002399                      -9.8688795
               19.028799                      -9.7759998
               19.055201                      -9.6911667
                 19.0816                      -9.6145416
                  19.108                       -9.546268
               19.134399                      -9.4864741
               19.160801                      -9.4352683
               19.187201                      -9.3927408
                 19.2136                      -9.3589676
                   19.24                      -9.3340029
               19.266399                      -9.3178887
               19.292801                      -9.3106453
               19.319201                      -9.3122812
                 19.3456                       -9.322784
                  19.372                      -9.3421258
               19.398399                      -9.3702629
               19.424801                      -9.4071338
                 19.4512                      -9.4526603
                 19.4776                      -9.5067448
                  19.504                      -9.5692758
               19.530399                      -9.6401207
               19.556801                      -9.7191271
                 19.5832                       -9.806127
                 19.6096                      -9.9009296
                  19.636                      -10.003326
               19.662399                      -10.113087
               19.688801                      -10.229959
                 19.7152                      -10.353673
                 19.7416                      -10.483932
                  19.768                      -10.620424
               19.794399                      -10.762809
               19.820801                      -10.910733
                 19.8472                      -11.063818
                 19.8736                      -11.221668
                    19.9                      -11.383871
               19.926399                          -11.55
               19.952801                      -11.719614
