        Frequency / GHz                S1,1 (Lgnd=16.25)/abs,dB
                 13.2208                      -9.6823839
                 13.2472                      -9.4980769
                 13.2736                      -9.3175711
                    13.3                      -9.1409674
                 13.3264                      -8.9683455
                 13.3528                      -8.7997705
                 13.3792                      -8.6352893
                 13.4056                      -8.4749344
                  13.432                       -8.318726
                 13.4584                       -8.166672
                 13.4848                      -8.0187683
                 13.5112                      -7.8749999
                 13.5376                      -7.7353415
                  13.564                      -7.5997593
                 13.5904                      -7.4682107
                 13.6168                      -7.3406454
                 13.6432                      -7.2170055
                 13.6696                      -7.0972248
                  13.696                      -6.9812315
                 13.7224                      -6.8689497
                 13.7488                      -6.7602961
                 13.7752                      -6.6551849
                 13.8016                      -6.5535248
                  13.828                      -6.4552222
                 13.8544                        -6.36018
                 13.8808                      -6.2683013
                 13.9072                      -6.1794883
                 13.9336                      -6.0936398
                   13.96                        -6.01066
                 13.9864                      -5.9304511
                 14.0128                      -5.8529179
                 14.0392                      -5.7779724
                 14.0656                      -5.7055248
                  14.092                      -5.6354944
                 14.1184                      -5.5678047
                 14.1448                      -5.5023848
                 14.1712                      -5.4391722
                 14.1976                      -5.3781102
                  14.224                      -5.3191505
                 14.2504                      -5.2622556
                 14.2768                       -5.207394
                 14.3032                      -5.1545449
                 14.3296                      -5.1036935
                  14.356                      -5.0548394
                 14.3824                      -5.0079855
                 14.4088                      -4.9631493
                 14.4352                      -4.9203536
                 14.4616                      -4.8796291
                  14.488                      -4.8410155
                 14.5144                      -4.8045616
                 14.5408                      -4.7703177
                 14.5672                      -4.7383463
                 14.5936                      -4.7087111
                   14.62                      -4.6814818
                 14.6464                      -4.6567325
                 14.6728                        -4.63454
                 14.6992                      -4.6149826
                 14.7256                      -4.5981428
                  14.752                      -4.5840994
                 14.7784                      -4.5729351
                 14.8048                       -4.564732
                 14.8312                      -4.5595689
                 14.8576                       -4.557525
                  14.884                      -4.5586725
                 14.9104                      -4.5630883
                 14.9368                      -4.5708388
                 14.9632                      -4.5819905
                 14.9896                      -4.5966035
                  15.016                      -4.6147358
                 15.0424                      -4.6364376
                 15.0688                      -4.6617569
                 15.0952                      -4.6907341
                 15.1216                       -4.723405
                  15.148                      -4.7598015
                 15.1744                      -4.7999461
                 15.2008                      -4.8438601
                 15.2272                      -4.8915556
                 15.2536                      -4.9430405
                   15.28                      -4.9983175
                 15.3064                      -5.0573816
                 15.3328                      -5.1202241
                 15.3592                      -5.1868308
                 15.3856                      -5.2571815
                  15.412                      -5.3312501
                 15.4384                       -5.409005
                 15.4648                      -5.4904103
                 15.4912                      -5.5754245
                 15.5176                      -5.6640014
                  15.544                      -5.7560884
                 15.5704                      -5.8516287
                 15.5968                      -5.9505591
                 15.6232                      -6.0528128
                 15.6496                       -6.158317
                  15.676                      -6.2669922
                 15.7024                      -6.3787555
                 15.7288                      -6.4935156
                 15.7552                      -6.6111784
                 15.7816                      -6.7316391
                  15.808                      -6.8547878
                 15.8344                      -6.9805083
                 15.8608                      -7.1086758
                 15.8872                       -7.239155
                 15.9136                      -7.3718025
                   15.94                      -7.5064653
                 15.9664                      -7.6429766
                 15.9928                      -7.7811598
               16.019199                      -7.9208236
               16.045601                      -8.0617623
               16.072001                      -8.2037531
                 16.0984                      -8.3465561
                 16.1248                      -8.4899119
               16.151199                        -8.63354
               16.177601                      -8.7771382
                  16.204                       -8.920381
                 16.2304                      -9.0629141
                 16.2568                      -9.2043581
               16.283199                      -9.3443076
               16.309601                      -9.4823251
                  16.336                       -9.617943
                 16.3624                      -9.7506686
                 16.3888                      -9.8799745
               16.415199                      -10.005312
               16.441601                      -10.126103
                  16.468                       -10.24175
                 16.4944                      -10.351641
                 16.5208                      -10.455152
               16.547199                      -10.551656
               16.573601                      -10.640534
                    16.6                      -10.721181
                 16.6264                       -10.79302
                 16.6528                      -10.855515
               16.679199                       -10.90818
               16.705601                       -10.95059
                  16.732                      -10.982399
                 16.7584                      -11.003347
                 16.7848                      -11.013265
               16.811199                      -11.012086
               16.837601                      -10.999852
                  16.864                      -10.976707
                 16.8904                      -10.942902
                 16.9168                       -10.89879
               16.943199                      -10.844816
               16.969601                      -10.781511
                  16.996                      -10.709478
                 17.0224                      -10.629382
                 17.0488                       -10.54194
               17.075199                      -10.447897
               17.101601                      -10.348026
                  17.128                      -10.243112
                 17.1544                      -10.133935
               17.180799                      -10.021269
               17.207199                      -9.9058681
               17.233601                      -9.7884616
                   17.26                      -9.6697486
                 17.2864                      -9.5503926
               17.312799                       -9.431018
               17.339199                      -9.3122102
               17.365601                      -9.1945127
                  17.392                      -9.0784287
                 17.4184                       -8.964417
               17.444799                      -8.8528977
               17.471201                      -8.7442472
               17.497601                      -8.6388056
                  17.524                      -8.5368756
                 17.5504                      -8.4387198
               17.576799                      -8.3445693
               17.603201                      -8.2546217
               17.629601                       -8.169039
                  17.656                      -8.0879541
                 17.6824                      -8.0114725
               17.708799                      -7.9396659
               17.735201                      -7.8725835
                 17.7616                      -7.8102414
                  17.788                      -7.7526352
                 17.8144                      -7.6997306
               17.840799                      -7.6514717
               17.867201                      -7.6077757
                 17.8936                      -7.5685371
                   17.92                      -7.5336258
                 17.9464                      -7.5028888
               17.972799                      -7.4761508
               17.999201                      -7.4532168
                 18.0256                       -7.433865
                  18.052                      -7.4178606
                 18.0784                      -7.4049438
               18.104799                      -7.3948398
               18.131201                      -7.3872565
                 18.1576                      -7.3818881
                  18.184                      -7.3784159
                 18.2104                      -7.3765125
               18.236799                      -7.3758406
               18.263201                      -7.3760624
                 18.2896                      -7.3768387
                  18.316                      -7.3778335
                 18.3424                      -7.3787188
               18.368799                      -7.3791784
               18.395201                      -7.3789116
                 18.4216                      -7.3776389
                  18.448                      -7.3751058
                 18.4744                      -7.3710846
               18.500799                       -7.365383
               18.527201                       -7.357842
                 18.5536                      -7.3483421
                   18.58                      -7.3368033
                 18.6064                      -7.3231878
               18.632799                      -7.3074995
               18.659201                      -7.2897851
                 18.6856                      -7.2701322
                  18.712                      -7.2486674
                 18.7384                      -7.2255528
               18.764799                      -7.2009871
               18.791201                      -7.1751963
                 18.8176                      -7.1484361
                  18.844                      -7.1209824
               18.870399                      -7.0931318
               18.896799                      -7.0651926
               18.923201                      -7.0374859
                 18.9496                      -7.0103376
                  18.976                      -6.9840772
               19.002399                      -6.9590323
               19.028799                      -6.9355291
               19.055201                      -6.9138857
                 19.0816                      -6.8944124
                  19.108                      -6.8774103
               19.134399                      -6.8631668
               19.160801                      -6.8519566
               19.187201                      -6.8440413
                 19.2136                       -6.839668
                   19.24                      -6.8390677
               19.266399                      -6.8424571
               19.292801                      -6.8500381
               19.319201                      -6.8619953
                 19.3456                       -6.878503
                  19.372                      -6.8997159
               19.398399                      -6.9257788
               19.424801                      -6.9568201
                 19.4512                      -6.9929584
                 19.4776                      -7.0342965
                  19.504                      -7.0809278
               19.530399                      -7.1329323
               19.556801                      -7.1903797
                 19.5832                      -7.2533289
                 19.6096                      -7.3218272
                  19.636                      -7.3959135
               19.662399                       -7.475616
               19.688801                      -7.5609529
                 19.7152                      -7.6519312
                 19.7416                      -7.7485499
                  19.768                      -7.8507954
               19.794399                      -7.9586452
               19.820801                      -8.0720646
                 19.8472                      -8.1910078
                 19.8736                      -8.3154139
                    19.9                      -8.4452116
               19.926399                      -8.5803108
               19.952801                      -8.7206083
                 19.9792                      -8.8659789
                 20.0056                      -9.0162814
                  20.032                      -9.1713478
               20.058399                      -9.3309887
               20.084801                      -9.4949846
                 20.1112                      -9.6630855
                 20.1376                      -9.8350076
                  20.164                      -10.010429
               20.190399                      -10.188985
               20.216801                      -10.370267
                 20.2432                      -10.553814
                 20.2696                      -10.739111
                  20.296                      -10.925588
               20.322399                      -11.112609
               20.348801                      -11.299476
                 20.3752                      -11.485425
                 20.4016                      -11.669624
               20.427999                      -11.851176
               20.454399                      -12.029126
               20.480801                      -12.202458
                 20.5072                      -12.370115
                 20.5336                      -12.531006
               20.559999                      -12.684023
               20.586399                      -12.828063
               20.612801                      -12.962054
                 20.6392                      -13.084975
                 20.6656                      -13.195887
               20.691999                      -13.293964
               20.718399                      -13.378518
               20.744801                      -13.449022
                 20.7712                      -13.505132
                 20.7976                      -13.546697
               20.823999                       -13.57377
               20.850401                      -13.586605
               20.876801                      -13.585647
