        Frequency / GHz                S1,1 (Scl=0.8)/abs,dB
               17.101601                      -21.691832
                  17.128                      -22.513232
                 17.1544                      -23.275158
               17.180799                      -23.911584
               17.207199                      -24.346224
               17.233601                      -24.516538
                   17.26                      -24.403089
                 17.2864                      -24.040224
               17.312799                      -23.497445
               17.339199                      -22.849443
               17.365601                       -22.15647
                  17.392                      -21.459318
                 17.4184                      -20.782391
               17.444799                      -20.138723
               17.471201                      -19.534231
               17.497601                      -18.970666
                  17.524                      -18.447455
                 17.5504                      -17.962816
               17.576799                        -17.5144
               17.603201                      -17.099651
               17.629601                      -16.716011
                  17.656                      -16.361024
                 17.6824                      -16.032389
               17.708799                      -15.727976
               17.735201                      -15.445836
                 17.7616                      -15.184193
                  17.788                      -14.941435
                 17.8144                        -14.7161
               17.840799                      -14.506871
               17.867201                       -14.31256
                 17.8936                      -14.132094
                   17.92                      -13.964513
                 17.9464                      -13.808953
               17.972799                      -13.664646
               17.999201                      -13.530902
                 18.0256                      -13.407112
                  18.052                      -13.292729
                 18.0784                      -13.187277
               18.104799                      -13.090329
               18.131201                      -13.001511
                 18.1576                      -12.920493
                  18.184                      -12.846987
                 18.2104                      -12.780733
               18.236799                      -12.721509
               18.263201                      -12.669109
                 18.2896                      -12.623352
                  18.316                      -12.584074
                 18.3424                      -12.551123
               18.368799                      -12.524355
               18.395201                      -12.503635
                 18.4216                      -12.488828
                  18.448                      -12.479805
                 18.4744                      -12.476432
               18.500799                      -12.478575
               18.527201                      -12.486093
                 18.5536                       -12.49884
                   18.58                      -12.516662
                 18.6064                      -12.539395
               18.632799                      -12.566869
               18.659201                      -12.598896
                 18.6856                      -12.635283
                  18.712                      -12.675817
                 18.7384                      -12.720273
               18.764799                       -12.76841
               18.791201                      -12.819963
                 18.8176                      -12.874653
                  18.844                      -12.932177
               18.870399                      -12.992203
               18.896799                      -13.054375
               18.923201                      -13.118305
                 18.9496                      -13.183575
                  18.976                      -13.249725
               19.002399                      -13.316262
               19.028799                      -13.382652
               19.055201                      -13.448318
                 19.0816                      -13.512643
                  19.108                      -13.574969
               19.134399                        -13.6346
               19.160801                      -13.690807
               19.187201                      -13.742834
                 19.2136                      -13.789914
                   19.24                      -13.831269
               19.266399                      -13.866136
               19.292801                      -13.893778
               19.319201                      -13.913505
                 19.3456                      -13.924696
                  19.372                      -13.926814
               19.398399                      -13.919432
               19.424801                      -13.902247
                 19.4512                      -13.875092
                 19.4776                      -13.837955
                  19.504                      -13.790975
               19.530399                      -13.734448
               19.556801                      -13.668819
                 19.5832                      -13.594672
                 19.6096                      -13.512714
                  19.636                      -13.423756
               19.662399                      -13.328698
               19.688801                      -13.228496
                 19.7152                      -13.124151
                 19.7416                      -13.016678
                  19.768                      -12.907095
               19.794399                      -12.796402
               19.820801                      -12.685563
                 19.8472                        -12.5755
                 19.8736                       -12.46708
                    19.9                      -12.361109
               19.926399                      -12.258329
               19.952801                       -12.15941
                 19.9792                      -12.064958
                 20.0056                      -11.975507
                  20.032                      -11.891522
               20.058399                      -11.813404
               20.084801                      -11.741491
                 20.1112                       -11.67606
                 20.1376                      -11.617329
                  20.164                      -11.565465
               20.190399                      -11.520583
               20.216801                      -11.482751
                 20.2432                      -11.451994
                 20.2696                      -11.428298
                  20.296                      -11.411609
               20.322399                      -11.401846
               20.348801                      -11.398895
                 20.3752                      -11.402616
                 20.4016                      -11.412853
               20.427999                      -11.429429
               20.454399                       -11.45216
               20.480801                      -11.480853
                 20.5072                      -11.515313
                 20.5336                       -11.55535
               20.559999                      -11.600781
               20.586399                      -11.651444
               20.612801                      -11.707193
                 20.6392                      -11.767911
                 20.6656                      -11.833518
               20.691999                      -11.903969
               20.718399                      -11.979263
               20.744801                       -12.05945
                 20.7712                      -12.144635
                 20.7976                      -12.234978
               20.823999                      -12.330703
               20.850401                      -12.432096
               20.876801                      -12.539509
