        Frequency / GHz                S1,1 (Lgnd=18.25)/abs,dB
                 14.7784                      -13.036703
                 14.8048                      -13.157586
                 14.8312                      -13.276578
                 14.8576                      -13.392737
                  14.884                      -13.505091
                 14.9104                      -13.612655
                 14.9368                      -13.714439
                 14.9632                      -13.809475
                 14.9896                      -13.896829
                  15.016                      -13.975615
                 15.0424                      -14.045028
                 15.0688                      -14.104345
                 15.0952                      -14.152954
                 15.1216                      -14.190357
                  15.148                       -14.21619
                 15.1744                      -14.230216
                 15.2008                      -14.232333
                 15.2272                      -14.222572
                 15.2536                      -14.201083
                   15.28                      -14.168137
                 15.3064                        -14.1241
                 15.3328                      -14.069427
                 15.3592                      -14.004652
                 15.3856                      -13.930365
                  15.412                      -13.847208
                 15.4384                      -13.755856
                 15.4648                      -13.657013
                 15.4912                      -13.551403
                 15.5176                      -13.439763
                  15.544                      -13.322838
                 15.5704                      -13.201377
                 15.5968                      -13.076132
                 15.6232                      -12.947856
                 15.6496                      -12.817301
                  15.676                      -12.685217
                 15.7024                       -12.55235
                 15.7288                      -12.419442
                 15.7552                      -12.287231
                 15.7816                      -12.156446
                  15.808                      -12.027811
                 15.8344                      -11.902034
                 15.8608                       -11.77982
                 15.8872                      -11.661857
                 15.9136                      -11.548817
                   15.94                      -11.441361
                 15.9664                      -11.340136
                 15.9928                      -11.245765
               16.019199                      -11.158865
               16.045601                      -11.080029
               16.072001                      -11.009836
                 16.0984                      -10.948851
                 16.1248                      -10.897627
               16.151199                      -10.856701
               16.177601                        -10.8266
                  16.204                      -10.807842
                 16.2304                      -10.800942
                 16.2568                      -10.806406
               16.283199                      -10.824741
               16.309601                      -10.856455
                  16.336                      -10.902065
                 16.3624                      -10.962093
                 16.3888                      -11.037072
               16.415199                      -11.127556
               16.441601                      -11.234121
                  16.468                      -11.357366
                 16.4944                      -11.497928
                 16.5208                      -11.656479
               16.547199                      -11.833741
               16.573601                      -12.030489
                    16.6                       -12.24756
                 16.6264                      -12.485872
                 16.6528                      -12.746421
               16.679199                      -13.030307
               16.705601                      -13.338747
                  16.732                      -13.673086
                 16.7584                      -14.034822
                 16.7848                      -14.425632
               16.811199                      -14.847388
               16.837601                      -15.302187
                  16.864                      -15.792373
                 16.8904                      -16.320559
                 16.9168                      -16.889635
               16.943199                      -17.502744
               16.969601                      -18.163213
                  16.996                      -18.874368
                 17.0224                      -19.639165
                 17.0488                      -20.459437
               17.075199                      -21.334475
               17.101601                      -22.258423
                  17.128                      -23.215702
                 17.1544                      -24.173753
               17.180799                      -25.073704
               17.207199                      -25.824572
               17.233601                      -26.315172
                   17.26                      -26.456696
                 17.2864                      -26.235363
               17.312799                      -25.721818
               17.339199                       -25.02598
               17.365601                      -24.247045
                  17.392                      -23.452951
                 17.4184                      -22.682758
               17.444799                      -21.955857
               17.471201                      -21.280049
               17.497601                      -20.656865
                  17.524                      -20.084659
                 17.5504                      -19.560335
               17.576799                       -19.08024
               17.603201                      -18.640636
               17.629601                       -18.23793
                  17.656                      -17.868765
                 17.6824                      -17.530061
               17.708799                      -17.219012
               17.735201                      -16.933076
                 17.7616                       -16.66995
                  17.788                      -16.427545
                 17.8144                      -16.203973
               17.840799                      -15.997519
               17.867201                      -15.806626
                 17.8936                      -15.629882
                   17.92                      -15.466006
                 17.9464                      -15.313832
               17.972799                      -15.172308
               17.999201                      -15.040484
                 18.0256                      -14.917499
                  18.052                       -14.80258
                 18.0784                      -14.695034
               18.104799                      -14.594243
               18.131201                      -14.499654
                 18.1576                      -14.410778
                  18.184                      -14.327182
                 18.2104                      -14.248483
               18.236799                      -14.174341
               18.263201                       -14.10446
                 18.2896                      -14.038572
                  18.316                      -13.976443
                 18.3424                      -13.917859
               18.368799                      -13.862626
               18.395201                      -13.810563
                 18.4216                      -13.761502
                  18.448                      -13.715282
                 18.4744                      -13.671742
               18.500799                      -13.630726
               18.527201                      -13.592073
                 18.5536                      -13.555623
                   18.58                      -13.521206
                 18.6064                      -13.488651
               18.632799                      -13.457776
               18.659201                      -13.428394
                 18.6856                      -13.400312
                  18.712                      -13.373329
                 18.7384                      -13.347233
