Frequency / GHz;S1,1/abs,dB
11.936;-93.383.251
11.952;-93.692.562
11.968;-9.401.639
11.984;-94.354.307
12;-94.705.825
12.016;-95.070.348
12.032;-95.447.254
12.048;-9.583.584
12.064;-96.235.365
12.08;-96.645.043
12.096;-97.064.078
12.112;-97.491.631
12.128;-97.926.867
12.144;-98.368.971
12.16;-98.817.126
12.176;-9.927.052
12.192;-99.728.436
12.208;-10.019.013
12.224;-10.065.497
12.24;-10.112.234
12.256;-10.159.174
12.272;-10.206.274
12.288;-10.253.493
12.304;-10.300.808
12.32;-10.348.199
12.336;-10.395.658
12.352;-10.443.186
12.368;-10.490.785
12.384;-10.538.482
12.4;-10.586.297
12.416;-1.063.427
12.432;-10.682.437
12.448;-10.730.843
12.464;-10.779.549
12.48;-1.082.861
12.496;-1.087.808
12.512;-1.092.803
12.528;-10.978.517
12.544;-11.029.609
12.56;-11.081.367
12.576;-11.133.848
12.592;-11.187.117
12.608;-1.124.121
12.624;-11.296.183
12.64;-11.352.067
12.656;-11.408.892
12.672;-11.466.682
12.688;-11.525.439
12.704;-11.585.174
12.72;-11.645.865
12.736;-11.707.492
12.752;-1.177.002
12.768;-11.833.396
12.784;-11.897.566
12.8;-11.962.455
12.816;-12.027.972
12.832;-1.209.403
12.848;-12.160.521
12.864;-12.227.319
12.88;-12.294.301
12.896;-12.361.336
12.912;-12.428.282
12.928;-12.494.985
12.944;-12.561.301
12.96;-12.627.078
12.976;-12.692.159
12.992;-12.756.399
13.008;-12.819.648
13.024;-12.881.771
13.04;-12.942.627
13.056;-13.002.113
13.072;-13.060.092
13.088;-13.116.486
13.104;-13.171.216
13.12;-13.224.197
13.136;-13.275.395
13.152;-13.324.779
13.168;-13.372.324
13.184;-13.418.037
13.2;-13.461.926
13.216;-13.504.043
13.232;-13.544.422
13.248;-13.583.126
13.264;-13.620.226
13.28;-13.655.798
13.296;-13.689.933
13.312;-13.722.724
13.328;-13.754.237
13.344;-13.784.596
13.36;-13.813.863
13.376;-1.384.213
13.392;-1.386.947
13.408;-13.895.939
13.424;-13.921.591
13.44;-13.946.475
13.456;-13.970.607
13.472;-13.993.998
13.488;-1.401.664
13.504;-14.038.523
13.52;-14.059.597
13.536;-1.407.982
13.552;-14.099.122
13.568;-14.117.427
13.584;-14.134.645
13.6;-1.415.068
13.616;-14.165.418
13.632;-14.178.757
13.648;-14.190.579
13.664;-14.200.783
13.68;-14.209.253
13.696;-14.215.901
13.712;-14.220.626
13.728;-14.223.362
13.744;-14.224.044
13.76;-14.222.633
13.776;-14.219.108
13.792;-14.213.473
13.808;-1.420.575
13.824;-14.195.986
13.84;-14.184.257
13.856;-14.170.651
13.872;-141.553
13.888;-14.138.336
13.904;-14.119.923
13.92;-1.410.023
13.936;-1.407.946
13.952;-14.057.815
13.968;-14.035.494
13.984;-1.401.273
14;-1.398.974
14.016;-13.966.738
14.032;-13.943.937
14.048;-13.921.555
14.064;-13.899.775
14.08;-13.878.786
14.096;-13.858.756
14.112;-13.839.831
14.128;-13.822.135
14.144;-13.805.773
14.16;-13.790.827
14.176;-13.777.348
14.192;-13.765.361
14.208;-13.754.863
14.224;-13.745.824
14.24;-13.738.175
14.256;-13.731.823
14.272;-13.726.647
14.288;-13.722.491
14.304;-13.719.165
14.32;-13.716.463
14.336;-13.714.139
14.352;-13.711.929
14.368;-13.709.548
14.384;-13.706.678
14.4;-13.703
14.416;-13.698.172
14.432;-13.691.849
14.448;-1.368.368
14.464;-13.673.317
14.48;-13.660.416
14.496;-13.644.657
14.512;-13.625.728
14.528;-1.360.335
14.544;-1.357.727
14.56;-13.547.275
14.576;-13.513.194
14.592;-13.474.897
14.608;-13.432.305
14.624;-13.385.386
14.64;-13.334.161
14.656;-13.278.697
14.672;-13.219.115
14.688;-13.155.576
14.704;-13.088.287
14.72;-13.017.494
14.736;-12.943.473
14.752;-12.866.531
14.768;-12.786.995
14.784;-12.705.214
14.8;-12.621.542
14.816;-12.536.343
14.832;-12.449.984
14.848;-12.362.823
14.864;-12.275.217
14.88;-12.187.509
14.896;-12.100.031
14.912;-12.013.096
14.928;-11.927.002
14.944;-11.842.027
14.96;-11.758.428
14.976;-11.676.444
14.992;-11.596.291
15.008;-11.518.161
15.024;-11.442.233
15.04;-11.368.662
15.056;-11.297.582
15.072;-11.229.109
15.088;-11.163.344
15.104;-11.100.371
15.12;-11.040.252
15.136;-10.983.042
15.152;-10.928.779
15.168;-10.877.484
15.184;-10.829.175
15.2;-10.783.851
15.216;-10.741.505
15.232;-10.702.116
15.248;-10.665.661
15.264;-10.632.108
15.28;-10.601.411
15.296;-10.573.527
15.312;-10.548.402
15.328;-10.525.975
15.344;-10.506.197
15.36;-10.488.984
15.376;-10.474.273
15.392;-10.462.001
15.408;-10.452.078
15.424;-10.444.439
15.44;-10.438.998
15.456;-10.435.672
15.472;-10.434.384
15.488;-10.435.054
15.504;-10.437.589
15.52;-10.441.911
15.536;-10.447.929
15.552;-1.045.556
15.568;-10.464.718
15.584;-10.475.318
15.6;-10.487.269
15.616;-10.500.493
15.632;-10.514.898
15.648;-10.530.391
15.664;-10.546.899
15.68;-10.564.322
15.696;-10.582.584
15.712;-10.601.589
15.728;-10.621.257
15.744;-10.641.506
15.76;-10.662.235
15.776;-10.683.369
15.792;-10.704.823
15.808;-10.726.503
15.824;-1.074.833
15.84;-10.770.214
15.856;-10.792.073
15.872;-10.813.823
15.888;-10.835.378
15.904;-10.856.658
15.92;-1.087.758
15.936;-10.898.065
15.952;-10.918.029
15.968;-10.937.401
15.984;-10.956.095
16;-10.974.045
