        Frequency / GHz                S1,1/abs,dB
                 11,8066                      -7,1375776
                 11,8245                      -7,1414772
                 11,8424                      -7,1405031
                 11,8603                      -7,1348552
                 11,8782                      -7,1247591
                 11,8961                      -7,1104628
                  11,914                      -7,0922309
                 11,9319                      -7,0703407
                 11,9498                      -7,0450812
                 11,9677                      -7,0167462
                 11,9856                       -6,985632
                 12,0035                       -6,952033
                 12,0214                      -6,9162413
                 12,0393                       -6,878543
                 12,0572                      -6,8392132
                 12,0751                       -6,798518
                  12,093                      -6,7567126
                 12,1109                      -6,7140352
                 12,1288                      -6,6707139
                 12,1467                      -6,6269596
                 12,1646                      -6,5829666
                 12,1825                       -6,538916
                 12,2004                      -6,4949706
                 12,2183                      -6,4512794
                 12,2362                      -6,4079756
                 12,2541                      -6,3651762
                  12,272                      -6,3229842
                 12,2899                      -6,2814877
                 12,3078                      -6,2407624
                 12,3257                      -6,2008693
                 12,3436                      -6,1618589
                 12,3615                      -6,1237671
                 12,3794                      -6,0866205
                 12,3973                      -6,0504353
                 12,4152                      -6,0152155
                 12,4331                      -5,9809584
                  12,451                      -5,9476511
                 12,4689                      -5,9152743
                 12,4868                      -5,8837985
                 12,5047                      -5,8531904
                 12,5226                      -5,8234105
                 12,5405                      -5,7944108
                 12,5584                      -5,7661406
                 12,5763                      -5,7385478
                 12,5942                       -5,711571
                 12,6121                      -5,6851504
                   12,63                      -5,6592238
                 12,6479                      -5,6337232
                 12,6658                      -5,6085851
                 12,6837                      -5,5837424
                 12,7016                       -5,559128
                 12,7195                      -5,5346771
                 12,7374                      -5,5103256
                 12,7553                      -5,4860126
                 12,7732                      -5,4616753
                 12,7911                      -5,4372607
                  12,809                       -5,412715
                 12,8269                       -5,387986
                 12,8448                      -5,3630329
                 12,8627                      -5,3378122
                 12,8806                       -5,312292
                 12,8985                      -5,2864395
                 12,9164                      -5,2602318
                 12,9343                      -5,2336489
                 12,9522                      -5,2066785
                 12,9701                      -5,1793127
                  12,988                      -5,1515507
                 13,0059                       -5,123395
                 13,0238                       -5,094857
                 13,0417                       -5,065949
                 13,0596                      -5,0366922
                 13,0775                      -5,0071121
                 13,0954                      -4,9772354
                 13,1133                       -4,947096
                 13,1312                      -4,9167318
                 13,1491                      -4,8861816
                  13,167                      -4,8554873
                 13,1849                      -4,8246952
                 13,2028                        -4,79385
                 13,2207                      -4,7630019
                 13,2386                       -4,732199
                 13,2565                      -4,7014895
                 13,2744                      -4,6709225
                 13,2923                      -4,6405468
                 13,3102                        -4,61041
                 13,3281                       -4,580557
                  13,346                      -4,5510324
                 13,3639                      -4,5218775
                 13,3818                      -4,4931322
                 13,3997                      -4,4648307
