freq	dB(S11_fitted)
8,93750000000000000E9	-4,36548593421915232E0
9,00000000000000000E9	-4,29037885255277196E0
9,06250000000000000E9	-4,22457565888491171E0
9,12500000000000000E9	-4,17138774989380678E0
9,18750000000000000E9	-4,13243684704707448E0
9,25000000000000000E9	-4,10749380563757072E0
9,37500000000000000E9	-4,08343680510554741E0
9,50000000000000000E9	-4,04254303859027697E0
9,62500000000000000E9	-3,94294428836214061E0
9,75000000000000000E9	-3,80330882510629209E0
9,80859375000000000E9	-3,73579578303232340E0
9,86718750000000000E9	-3,67159572622297770E0
9,92578125000000000E9	-3,61280282156056565E0
9,98437500000000000E9	-3,56072213461463161E0
1,00429687500000009E10	-3,51609761296456380E0
1,01015625000000009E10	-3,47930149799007982E0
1,01601562500000009E10	-3,45047019745051564E0
1,02187500000000009E10	-3,42959346173187107E0
1,02773437500000009E10	-3,41656894879710915E0
1,03359375000000009E10	-3,41123308275435910E0
1,03945312500000009E10	-3,41337632657484447E0
1,04531250000000009E10	-3,42274840162562377E0
1,05117187500000009E10	-3,43905705654890825E0
1,05703125000000009E10	-3,46196269331074946E0
1,06289062500000009E10	-3,49107035340579319E0
1,06875000000000009E10	-3,52592010973475833E0
1,07460937500000009E10	-3,56597669166941467E0
1,08046875000000009E10	-3,61061911766582488E0
1,08632812500000009E10	-3,65913116997710031E0
1,09218750000000009E10	-3,71069368030573932E0
1,09804687500000009E10	-3,76437976725485779E0
1,10390625000000009E10	-3,81915433530575621E0
1,10976562500000009E10	-3,87387926045605369E0
1,11562500000000009E10	-3,92732568847371466E0
1,12148437500000009E10	-3,97819468984288216E0
1,12734375000000009E10	-4,02514708653227515E0
1,13320312500000009E10	-4,06684254750435947E0
1,13906250000000009E10	-4,10198704655390500E0
1,14492187500000009E10	-4,12938656219983535E0
1,15078125000000009E10	-4,14800363368136882E0
1,15664062500000009E10	-4,15701230362900542E0
1,16250000000000009E10	-4,15584634585605350E0
1,16640625000000009E10	-4,14927019244772666E0
1,17031250000000009E10	-4,13804329536433091E0
1,17421875000000009E10	-4,12222714281393454E0
1,17812500000000009E10	-4,10194581253510027E0
1,18203125000000009E10	-4,07738329756777595E0
1,18593750000000009E10	-4,04877929485298615E0
1,18984375000000009E10	-4,01642366149808527E0
1,19375000000000009E10	-3,98064980468851726E0
1,19765625000000009E10	-3,94182731174202861E0
1,20156250000000009E10	-3,90035414488561782E0
1,20546875000000009E10	-3,85664872161432815E0
1,20937500000000009E10	-3,81114217867718175E0
1,21328125000000009E10	-3,76427108005023392E0
1,21718750000000009E10	-3,71647078173921930E0
1,22109375000000009E10	-3,66816961408159115E0
1,22500000000000009E10	-3,61978399014275043E0
1,23020833331249979E10	-3,55582817331427270E0
1,23541666662499994E10	-3,49332908233619577E0
1,24062499993749986E10	-3,43311746379398564E0
1,24583333324999979E10	-3,37595586636856693E0
1,25104166656249971E10	-3,32254152752136322E0
1,25624999987499986E10	-3,27351393725522932E0
1,26145833318750000E10	-3,22946701030008265E0
1,26666666649999993E10	-3,19096618389821263E0
1,27187499981250007E10	-3,15857138211678556E0
1,27708333312500000E10	-3,13286778274663291E0
1,28229166643750014E10	-3,11450795639829314E0
1,28749999974999985E10	-3,10427175121863064E0
1,29270833306250044E10	-3,10315535558439404E0
1,29791666637499992E10	-3,11251059144742426E0
1,30312499968749984E10	-3,13427484607176909E0
1,30833333299999977E10	-3,17137352495238156E0
1,31267361087499990E10	-3,21728755577331071E0
1,31701388875000025E10	-3,28135014517755907E0
1,32135416662499994E10	-3,37061157542904999E0
1,32569444450000029E10	-3,49737491564732883E0
1,32786458343750025E10	-3,58139434819415348E0
1,33003472237499998E10	-3,68502342677650230E0
1,33220486131249971E10	-3,81536578818626992E0
1,33437500025000011E10	-3,98347982208840667E0
1,33546006971874975E10	-4,08694324245512686E0
1,33654513918750029E10	-4,20746048924880522E0
1,33763020865624993E10	-4,34942091658693997E0
1,33871527812500002E10	-4,51881095142986666E0
1,33980034759375011E10	-4,72398279893692408E0
1,34088541706249997E10	-4,97689823260551023E0
1,34197048653125028E10	-5,29521900741355367E0
1,34305555599999993E10	-5,70598252138665085E0
1,34392361149999995E10	-6,12937716645537378E0
1,34479166700000019E10	-6,67389138209795529E0
1,34565972250000021E10	-7,39471422030505554E0
1,34652777800000023E10	-8,38448535029965569E0
1,34696180574999969E10	-9,02798672704489391E0
1,34739583350000003E10	-9,81189300594713920E0
1,34782986124999971E10	-1,07856378789650642E1
1,34826388899999983E10	-1,20264991103747976E1
1,34848090287500022E10	-1,27846301757565239E1
1,34869791675000017E10	-1,36654156401822613E1
1,34891493062499990E10	-1,47040744141264623E1
1,34913194449999962E10	-1,59531475251250399E1
1,34934895837500002E10	-1,74963489550920492E1
1,34956597224999997E10	-1,94799005391927738E1
1,34978298612500014E10	-2,21970319227146717E1
1,35000000000000009E10	-2,63918325257233688E1
1,35029296875000004E10	-4,30298983231615395E1
1,35058593750000000E10	-2,82066641034292509E1
1,35087890624999996E10	-2,14521006109294632E1
1,35117187499999991E10	-1,76069917520688835E1
1,35146484375000009E10	-1,49112883936600960E1
1,35175781250000004E10	-1,28478871128964656E1
1,35205078125000000E10	-1,11935842650265127E1
1,35234374999999996E10	-9,83128485124423257E0
1,35263671874999991E10	-8,69132470894793485E0
1,35292968750000009E10	-7,72820967130552994E0
1,35322265625000004E10	-6,90993006670422361E0
1,35351562500000000E10	-6,21255370865169709E0
1,35380859374999996E10	-5,61730741290106561E0
1,35410156249999991E10	-5,10892913532140724E0
1,35439453125000009E10	-4,67470246199473483E0
1,35468750000000004E10	-4,30386761434892495E0
1,35498046875000000E10	-3,98724251727826484E0
1,35527343749999996E10	-3,71696158730129600E0
1,35556640624999991E10	-3,48628120339831371E0
1,35585937500000009E10	-3,28942425192594623E0
1,35615234375000004E10	-3,12144929910608449E0
1,35644531250000000E10	-2,97813710026139500E0
1,35673828124999996E10	-2,85589083755269479E0
1,35703124999999991E10	-2,75164822412257193E0
1,35761718750000004E10	-2,58714431715409265E0
1,35820312499999996E10	-2,46812470296231723E0
1,35878906250000009E10	-2,38265058427489063E0
1,35937500000000000E10	-2,32205822978499032E0
1,36054687500000004E10	-2,25193094422012274E0
1,36171875000000009E10	-2,22470387018497195E0
1,36289062499999991E10	-2,22215375559498973E0
1,36406249999999996E10	-2,23394824559285654E0
1,36523437500000000E10	-2,25407962799746864E0
1,36640625000000004E10	-2,27898011460348204E0
1,36757812500000009E10	-2,30649640857338456E0
1,36874999999999991E10	-2,33531539824302703E0
1,37109375000000000E10	-2,39396220518971647E0
1,37343750000000009E10	-2,45160725689685721E0
1,37578124999999996E10	-2,50715377997031252E0
1,37812500000000004E10	-2,56039616629713240E0
1,38046874999999991E10	-2,61148148122324786E0
1,38281250000000000E10	-2,66068237396438434E0
1,38515625000000009E10	-2,70830020361056256E0
1,38749999999999996E10	-2,75462477627899105E0
1,39921874999999996E10	-2,97502017262626639E0
1,41093749999999996E10	-3,19120077665808077E0
1,42265624999999996E10	-3,41489278616287262E0
1,43437499999999996E10	-3,65248883740207919E0
1,44609374999999996E10	-3,90785699482332882E0
1,45781249999999996E10	-4,18349215449032830E0
1,46953124999999996E10	-4,48097475309020243E0
1,48124999999999996E10	-4,80113895653280043E0
1,49296874999999996E10	-5,14413507129220626E0
1,50468749999999996E10	-5,50948365830916487E0
1,51640624999999996E10	-5,89616762955437412E0
1,52812499999999996E10	-6,30275919925634120E0
1,53984374999999996E10	-6,72752615967870149E0
1,55156249999999996E10	-7,16841909962601953E0
1,56328124999999996E10	-7,62282588594843791E0
1,57499999999999996E10	-8,08700430462948638E0
1,58437500000000009E10	-8,46159553665204633E0
1,59375000000000000E10	-8,83443225720616176E0
1,60312499999999991E10	-9,19947387027706043E0
1,61250000000000004E10	-9,54878286028156253E0
1,62187499999999996E10	-9,87262329681483664E0
1,63125000000000009E10	-1,01600951192363698E1
1,64062500000000000E10	-1,04004442310121692E1
1,64999999999999991E10	-1,05849515215723389E1
1,65468750000000009E10	-1,06545958466922364E1
1,65937500000000004E10	-1,07089189537290386E1
1,66406250000000000E10	-1,07481703366373504E1
1,66874999999999996E10	-1,07729260594973986E1
1,67343749999999991E10	-1,07840323862278131E1
1,67812500000000009E10	-1,07825177318351662E1
1,68281250000000004E10	-1,07694771445899451E1
1,68750000000000000E10	-1,07459359832796131E1
1,69218749999999996E10	-1,07127012667317367E1
1,69687499999999991E10	-1,06702105888514942E1
1,70156250000000009E10	-1,06183899812029403E1
1,70625000000000004E10	-1,05565341482596398E1
1,71093750000000000E10	-1,04832252918990831E1
1,71562499999999996E10	-1,03963098376544338E1
1,72031249999999991E10	-1,02929543692559311E1
1,72500000000000009E10	-1,01698004890000804E1
1,73124999999999996E10	-9,96855171447187338E0
1,73750000000000004E10	-9,71761624558789272E0
1,74374999999999991E10	-9,41115041166581534E0
1,75000000000000000E10	-9,04729281391604090E0
1,75625000000000009E10	-8,62924110305571368E0
1,76249999999999996E10	-8,16522872797814436E0
1,76875000000000004E10	-7,66740027714156547E0
1,77499999999999991E10	-7,15000428536221566E0
1,78125000000000000E10	-6,62749330243536861E0
1,78750000000000009E10	-6,11300001347108335E0
1,79374999999999996E10	-5,61739609514387439E0
1,80000000000000004E10	-5,14891072916833714E0


