        Frequency / GHz                S1,1 (Fg=-1.37)/abs,dB
               17.444799                      -13.294478
               17.471201                      -13.344628
               17.497601                       -13.38872
                  17.524                      -13.427007
                 17.5504                      -13.459792
               17.576799                      -13.487406
               17.603201                      -13.510205
               17.629601                      -13.528548
                  17.656                      -13.542789
                 17.6824                      -13.553261
               17.708799                      -13.560271
               17.735201                      -13.564083
                 17.7616                      -13.564917
                  17.788                       -13.56294
                 17.8144                      -13.558264
               17.840799                      -13.550943
               17.867201                      -13.540979
                 17.8936                      -13.528319
                   17.92                      -13.512867
                 17.9464                      -13.494482
               17.972799                      -13.472998
               17.999201                      -13.448224
                 18.0256                      -13.419957
                  18.052                      -13.387996
                 18.0784                      -13.352153
               18.104799                       -13.31226
               18.131201                      -13.268182
                 18.1576                      -13.219828
                  18.184                      -13.167153
                 18.2104                      -13.110171
               18.236799                       -13.04895
               18.263201                       -12.98362
                 18.2896                       -12.91437
                  18.316                      -12.841443
                 18.3424                      -12.765135
               18.368799                      -12.685785
               18.395201                      -12.603773
                 18.4216                      -12.519502
                  18.448                        -12.4334
                 18.4744                      -12.345903
               18.500799                      -12.257453
               18.527201                      -12.168484
                 18.5536                      -12.079416
                   18.58                      -11.990654
                 18.6064                      -11.902576
               18.632799                       -11.81553
               18.659201                      -11.729834
                 18.6856                      -11.645769
                  18.712                      -11.563583
                 18.7384                      -11.483481
               18.764799                      -11.405635
               18.791201                      -11.330181
                 18.8176                      -11.257216
                  18.844                      -11.186805
               18.870399                      -11.118982
               18.896799                       -11.05375
               18.923201                      -10.991086
                 18.9496                      -10.930942
                  18.976                      -10.873248
               19.002399                      -10.817918
               19.028799                      -10.764847
               19.055201                       -10.71392
                 19.0816                      -10.665015
                  19.108                      -10.617995
               19.134399                      -10.572727
               19.160801                      -10.529074
               19.187201                      -10.486899
                 19.2136                       -10.44607
                   19.24                      -10.406459
               19.266399                      -10.367942
               19.292801                      -10.330407
               19.319201                      -10.293747
                 19.3456                      -10.257868
                  19.372                      -10.222683
               19.398399                      -10.188114
               19.424801                      -10.154091
                 19.4512                      -10.120558
                 19.4776                      -10.087457
                  19.504                      -10.054744
               19.530399                      -10.022375
               19.556801                      -9.9903104
