        Frequency / GHz                S1,1 (Lf=8.1)/abs,dB
                 10.6072                      -3.7510011
                 10.6336                      -3.7684371
                   10.66                      -3.7870864
                 10.6864                      -3.8066612
                 10.7128                      -3.8268674
                 10.7392                      -3.8474043
                 10.7656                      -3.8679684
                  10.792                       -3.888257
                 10.8184                      -3.9079743
                 10.8448                      -3.9268272
                 10.8712                      -3.9445388
                 10.8976                      -3.9608456
                  10.924                      -3.9755038
                 10.9504                      -3.9882937
                 10.9768                      -3.9990216
                 11.0032                      -4.0075258
                 11.0296                      -4.0136747
                  11.056                      -4.0173765
                 11.0824                      -4.0185714
                 11.1088                      -4.0172426
                 11.1352                      -4.0134046
                 11.1616                      -4.0071152
                  11.188                      -3.9984647
                 11.2144                      -3.9875769
                 11.2408                      -3.9746059
                 11.2672                      -3.9597355
                 11.2936                      -3.9431712
                   11.32                      -3.9251379
                 11.3464                      -3.9058764
                 11.3728                      -3.8856376
                 11.3992                      -3.8646809
                 11.4256                      -3.8432653
                  11.452                      -3.8216503
                 11.4784                      -3.8000877
                 11.5048                      -3.7788253
                 11.5312                      -3.7580933
                 11.5576                      -3.7381129
                  11.584                      -3.7190859
                 11.6104                      -3.7011954
                 11.6368                      -3.6846072
                 11.6632                      -3.6694655
                 11.6896                      -3.6558924
                  11.716                      -3.6439895
                 11.7424                      -3.6338346
                 11.7688                      -3.6254875
                 11.7952                      -3.6189827
                 11.8216                      -3.6143394
                  11.848                      -3.6115533
                 11.8744                      -3.6106027
                 11.9008                      -3.6114517
                 11.9272                      -3.6140452
                 11.9536                      -3.6183176
                   11.98                      -3.6241882
                 12.0064                      -3.6315669
                 12.0328                       -3.640357
                 12.0592                      -3.6504533
                 12.0856                      -3.6617454
                  12.112                      -3.6741215
                 12.1384                      -3.6874699
                 12.1648                       -3.701677
                 12.1912                      -3.7166357
                 12.2176                      -3.7322397
                  12.244                      -3.7483913
                 12.2704                      -3.7650011
                 12.2968                      -3.7819879
                 12.3232                      -3.7992795
                 12.3496                      -3.8168161
                  12.376                        -3.83455
                 12.4024                      -3.8524424
                 12.4288                      -3.8704687
                 12.4552                      -3.8886169
                 12.4816                      -3.9068863
                  12.508                      -3.9252856
                 12.5344                      -3.9438357
                 12.5608                      -3.9625687
                 12.5872                      -3.9815213
                 12.6136                      -4.0007408
                   12.64                      -4.0202792
                 12.6664                      -4.0401944
                 12.6928                      -4.0605457
                 12.7192                      -4.0813973
                 12.7456                      -4.1028107
                  12.772                      -4.1248505
                 12.7984                      -4.1475768
                 12.8248                      -4.1710452
                 12.8512                      -4.1953127
                 12.8776                      -4.2204247
                  12.904                      -4.2464251
                 12.9304                      -4.2733496
                 12.9568                      -4.3012269
                 12.9832                      -4.3300763
                 13.0096                      -4.3599115
                  13.036                       -4.390737
                 13.0624                      -4.4225473
                 13.0888                      -4.4553315
                 13.1152                      -4.4890691
                 13.1416                      -4.5237329
                  13.168                      -4.5592879
                 13.1944                      -4.5956915
                 13.2208                      -4.6328974
                 13.2472                      -4.6708515
                 13.2736                      -4.7094978
                    13.3                      -4.7487743
                 13.3264                      -4.7886182
                 13.3528                      -4.8289628
                 13.3792                      -4.8697413
                 13.4056                      -4.9108871
                  13.432                      -4.9523345
                 13.4584                      -4.9940191
                 13.4848                      -5.0358805
                 13.5112                      -5.0778603
                 13.5376                      -5.1199039
                  13.564                      -5.1619648
                 13.5904                      -5.2039935
                 13.6168                      -5.2459566
                 13.6432                      -5.2878212
                 13.6696                      -5.3295606
                  13.696                      -5.3711508
                 13.7224                      -5.4125843
                 13.7488                      -5.4538476
                 13.7752                      -5.4949393
                 13.8016                      -5.5358619
                  13.828                      -5.5766224
                 13.8544                      -5.6172285
                 13.8808                      -5.6576941
                 13.9072                      -5.6980357
                 13.9336                       -5.738269
                   13.96                      -5.7784083
                 13.9864                      -5.8184689
                 14.0128                      -5.8584672
                 14.0392                       -5.898412
                 14.0656                      -5.9383099
                  14.092                      -5.9781627
                 14.1184                      -6.0179672
                 14.1448                      -6.0577142
                 14.1712                       -6.097385
                 14.1976                      -6.1369558
                  14.224                      -6.1763917
                 14.2504                      -6.2156525
                 14.2768                      -6.2546865
                 14.3032                      -6.2934347
                 14.3296                      -6.3318273
                  14.356                      -6.3697896
                 14.3824                      -6.4072345
                 14.4088                      -6.4440698
                 14.4352                       -6.480197
                 14.4616                      -6.5155111
                  14.488                       -6.549901
                 14.5144                      -6.5832541
                 14.5408                      -6.6154549
                 14.5672                      -6.6463877
                 14.5936                      -6.6759375
                   14.62                      -6.7039897
                 14.6464                      -6.7304356
                 14.6728                      -6.7551718
                 14.6992                      -6.7781004
                 14.7256                      -6.7991329
                  14.752                      -6.8181903
                 14.7784                      -6.8352017
                 14.8048                      -6.8501106
                 14.8312                      -6.8628703
                 14.8576                      -6.8734463
                  14.884                      -6.8818172
                 14.9104                      -6.8879737
                 14.9368                      -6.8919182
                 14.9632                      -6.8936629
                 14.9896                      -6.8932324
                  15.016                       -6.890661
                 15.0424                      -6.8859875
                 15.0688                      -6.8792617
                 15.0952                      -6.8705355
                 15.1216                      -6.8598668
                  15.148                      -6.8473142
                 15.1744                      -6.8329412
                 15.2008                      -6.8168072
                 15.2272                      -6.7989702
                 15.2536                      -6.7794903
                   15.28                      -6.7584198
                 15.3064                      -6.7358095
                 15.3328                      -6.7117064
                 15.3592                      -6.6861509
                 15.3856                      -6.6591814
                  15.412                       -6.630832
                 15.4384                       -6.601133
                 15.4648                      -6.5701111
                 15.4912                      -6.5377926
                 15.5176                      -6.5042007
                  15.544                      -6.4693618
