        Frequency / GHz                S1,1 (W=37.2)/abs,dB
                 13.9864                      -6.4883062
                 14.0128                       -6.453135
                 14.0392                      -6.4184381
                 14.0656                      -6.3842359
                  14.092                      -6.3505681
                 14.1184                      -6.3174788
                 14.1448                      -6.2849987
                 14.1712                      -6.2531354
                 14.1976                      -6.2218789
                  14.224                      -6.1911955
                 14.2504                      -6.1610474
                 14.2768                      -6.1314033
                 14.3032                      -6.1022588
                 14.3296                      -6.0736559
                  14.356                      -6.0456993
                 14.3824                      -6.0185739
                 14.4088                      -5.9925468
                 14.4352                      -5.9679752
                 14.4616                      -5.9452948
                  14.488                      -5.9250102
                 14.5144                      -5.9076751
                 14.5408                      -5.8938613
                 14.5672                      -5.8841434
                 14.5936                      -5.8790584
                   14.62                      -5.8790829
                 14.6464                      -5.8846114
                 14.6728                        -5.89593
                 14.6992                      -5.9132037
                 14.7256                      -5.9364672
                  14.752                      -5.9656196
                 14.7784                      -6.0004293
                 14.8048                      -6.0405459
                 14.8312                      -6.0855107
                 14.8576                      -6.1347832
                  14.884                      -6.1877632
                 14.9104                      -6.2438172
                 14.9368                      -6.3023075
                 14.9632                      -6.3626198
                 14.9896                      -6.4241845
                  15.016                       -6.486498
                 15.0424                      -6.5491325
                 15.0688                      -6.6117451
                 15.0952                       -6.674069
                 15.1216                      -6.7359108
                  15.148                      -6.7971322
                 15.1744                      -6.8576303
                 15.2008                      -6.9173177
                 15.2272                      -6.9761012
                 15.2536                      -7.0338631
                   15.28                      -7.0904522
                 15.3064                      -7.1456714
                 15.3328                       -7.199279
                 15.3592                      -7.2509991
                 15.3856                      -7.3005342
                  15.412                      -7.3475833
                 15.4384                      -7.3918685
                 15.4648                      -7.4331538
                 15.4912                      -7.4712723
                 15.5176                      -7.5061426
                  15.544                       -7.537777
                 15.5704                      -7.5662917
                 15.5968                      -7.5918928
                 15.6232                      -7.6148686
                 15.6496                      -7.6355614
                  15.676                      -7.6543466
                 15.7024                      -7.6715934
                 15.7288                       -7.687638
                 15.7552                      -7.7027534
                 15.7816                      -7.7171173
                  15.808                      -7.7308026
                 15.8344                       -7.743755
                 15.8608                       -7.755796
                 15.8872                      -7.7666263
                 15.9136                      -7.7758391
                   15.94                      -7.7829417
                 15.9664                      -7.7873818
                 15.9928                      -7.7885789
               16.019199                      -7.7859595
               16.045601                      -7.7789802
               16.072001                      -7.7671652
                 16.0984                       -7.750124
                 16.1248                      -7.7275667
               16.151199                      -7.6993114
               16.177601                      -7.6652891
                  16.204                      -7.6255314
                 16.2304                      -7.5801621
                 16.2568                      -7.5293809
               16.283199                      -7.4734513
               16.309601                      -7.4126831
