        Frequency - GHz                S1,1 (7)-abs,dB
               9.3184996                      -14.459538
                  9.3364                       -14.59506
               9.3542995                      -14.732119
                  9.3722                      -14.870016
               9.3900995                      -15.007902
                   9.408                       -15.14476
               9.4259005                      -15.279391
                  9.4438                      -15.410412
               9.4617004                      -15.536243
                  9.4796                      -15.655112
               9.4975004                      -15.765075
               9.5153999                      -15.864039
               9.5333004                      -15.949799
               9.5511999                      -16.020102
               9.5691004                      -16.072724
               9.5869999                      -16.105549
               9.6049004                      -16.116677
               9.6227999                      -16.104513
               9.6407003                      -16.067867
               9.6585999                       -16.00602
               9.6765003                      -15.918777
               9.6943998                      -15.806482
               9.7123003                      -15.669992
               9.7301998                      -15.510635
               9.7481003                      -15.330129
               9.7659998                      -15.130491
               9.7839003                      -14.913937
               9.8017998                      -14.682789
               9.8197002                      -14.439384
               9.8375998                      -14.186003
               9.8555002                      -13.924818
               9.8733997                      -13.657849
               9.8913002                      -13.386941
               9.9091997                      -13.113748
               9.9271002                      -12.839739
               9.9449997                      -12.566196
               9.9629002                      -12.294226
               9.9807997                      -12.024775
               9.9987001                      -11.758643
                 10.0166                      -11.496499
                 10.0345                      -11.238895
                 10.0524                      -10.986282
                 10.0703                      -10.739024
                 10.0882                      -10.497408
                 10.1061                      -10.261656
                  10.124                      -10.031935
                 10.1419                      -9.8083593
                 10.1598                      -9.5910098
                 10.1777                       -9.379929
                 10.1956                      -9.1751323
                 10.2135                        -8.97661
                 10.2314                      -8.7843332
                 10.2493                      -8.5982536
                 10.2672                      -8.4183127
                 10.2851                      -8.2444341
                  10.303                      -8.0765389
                 10.3209                      -7.9145343
                 10.3388                      -7.7583223
                 10.3567                      -7.6077995
                 10.3746                      -7.4628588
                 10.3925                       -7.323388
                 10.4104                      -7.1892715
                 10.4283                      -7.0603925
                 10.4462                       -6.936631
                 10.4641                      -6.8178663
                  10.482                      -6.7039747
                 10.4999                      -6.5948334
                 10.5178                       -6.490316
                 10.5357                      -6.3903002
                 10.5536                      -6.2946579
                 10.5715                      -6.2032639
                 10.5894                      -6.1159924
                 10.6073                      -6.0327179
                 10.6252                      -5.9533136
                 10.6431                      -5.8776546
                  10.661                      -5.8056159
                 10.6789                       -5.737073
                 10.6968                      -5.6719018
                 10.7147                      -5.6099804
                 10.7326                      -5.5511866
                 10.7505                      -5.4954005
                 10.7684                      -5.4425036
                 10.7863                      -5.3923774
                 10.8042                      -5.3449081
                 10.8221                      -5.2999825
                   10.84                      -5.2574906
                 10.8579                      -5.2173224
                 10.8758                      -5.1793756
                 10.8937                      -5.1435454
                 10.9116                      -5.1097342
                 10.9295                      -5.0778493
                 10.9474                      -5.0477953
                 10.9653                      -5.0194905
                 10.9832                      -4.9928486
                 11.0011                       -4.967794
                  11.019                      -4.9442521
                 11.0369                      -4.9221556
                 11.0548                      -4.9014418
                 11.0727                      -4.8820538
                 11.0906                      -4.8639408
                 11.1085                      -4.8470534
                 11.1264                      -4.8313528
                 11.1443                      -4.8168036
                 11.1622                      -4.8033774
                 11.1801                      -4.7910502
                  11.198                      -4.7798033
                 11.2159                      -4.7696239
                 11.2338                      -4.7605061
                 11.2517                      -4.7524467
                 11.2696                      -4.7454498
                 11.2875                      -4.7395233
                 11.3054                      -4.7346783
                 11.3233                      -4.7309326
                 11.3412                      -4.7283069
                 11.3591                      -4.7268258
                  11.377                      -4.7265163
                 11.3949                      -4.7274095
                 11.4128                      -4.7295393
                 11.4307                      -4.7329411
                 11.4486                      -4.7376528
                 11.4665                      -4.7437129
                 11.4844                      -4.7511636
                 11.5023                      -4.7600456
                 11.5202                      -4.7704016
                 11.5381                      -4.7822721
                  11.556                      -4.7957007
                 11.5739                      -4.8107274
                 11.5918                      -4.8273939
                 11.6097                       -4.845739
                 11.6276                      -4.8658013
                 11.6455                      -4.8876173
                 11.6634                      -4.9112207
                 11.6813                      -4.9366433
                 11.6992                      -4.9639155
                 11.7171                       -4.993063
                  11.735                        -5.02411
                 11.7529                      -5.0570775
                 11.7708                      -5.0919828
                 11.7887                      -5.1288402
                 11.8066                      -5.1676586
                 11.8245                      -5.2084439
                 11.8424                      -5.2511998
                 11.8603                      -5.2959239
                 11.8782                      -5.3426094
                 11.8961                      -5.3912454
                  11.914                      -5.4418187
                 11.9319                      -5.4943079
                 11.9498                      -5.5486886
                 11.9677                      -5.6049331
                 11.9856                      -5.6630079
                 12.0035                      -5.7228735
                 12.0214                      -5.7844885
                 12.0393                      -5.8478032
                 12.0572                      -5.9127663
                 12.0751                      -5.9793212
                  12.093                      -6.0474044
                 12.1109                      -6.1169514
                 12.1288                      -6.1878907
                 12.1467                      -6.2601484
                 12.1646                      -6.3336452
                 12.1825                      -6.4082988
                 12.2004                      -6.4840235
                 12.2183                      -6.5607297
                 12.2362                      -6.6383234
                 12.2541                       -6.716712
                  12.272                      -6.7957978
                 12.2899                      -6.8754803
                 12.3078                        -6.95566
                 12.3257                      -7.0362354
                 12.3436                      -7.1171048
                 12.3615                      -7.1981665
                 12.3794                      -7.2793179
                 12.3973                      -7.3604596
                 12.4152                      -7.4414943
                 12.4331                       -7.522323
                  12.451                      -7.6028539
                 12.4689                      -7.6829962
                 12.4868                      -7.7626641
                 12.5047                      -7.8417748
                 12.5226                      -7.9202503
                 12.5405                      -7.9980184
                 12.5584                      -8.0750125
                 12.5763                      -8.1511709
                 12.5942                      -8.2264378
                 12.6121                      -8.3007631
                   12.63                      -8.3741044
                 12.6479                      -8.4464245
                 12.6658                      -8.5176908
                 12.6837                       -8.587879
                 12.7016                      -8.6569663
                 12.7195                      -8.7249397
                 12.7374                       -8.791787
                 12.7553                      -8.8575026
                 12.7732                       -8.922083
                 12.7911                      -8.9855268
                  12.809                      -9.0478382
