        Frequency - GHz                S1,1 (Lgnd=15.25)-abs,dB
                 11.8603                      -7.5300435
                 11.8782                      -7.6368909
                 11.8961                      -7.7430897
                  11.914                      -7.8484281
                 11.9319                      -7.9526854
                 11.9498                      -8.0556402
                 11.9677                      -8.1570674
                 11.9856                      -8.2567426
                 12.0035                      -8.3544422
                 12.0214                      -8.4499418
                 12.0393                      -8.5430237
                 12.0572                      -8.6334733
                 12.0751                      -8.7210823
                  12.093                      -8.8056531
                 12.1109                      -8.8869935
                 12.1288                      -8.9649282
                 12.1467                      -9.0392895
                 12.1646                      -9.1099268
                 12.1825                      -9.1767039
                 12.2004                       -9.239503
                 12.2183                      -9.2982214
                 12.2362                      -9.3527755
                 12.2541                      -9.4031011
                  12.272                      -9.4491517
                 12.2899                      -9.4909004
                 12.3078                        -9.52834
                 12.3257                      -9.5614797
                 12.3436                      -9.5903472
                 12.3615                      -9.6149892
                 12.3794                       -9.635464
                 12.3973                       -9.651849
                 12.4152                      -9.6642305
                 12.4331                      -9.6727114
                  12.451                      -9.6774019
                 12.4689                      -9.6784239
                 12.4868                      -9.6759042
                 12.5047                      -9.6699803
                 12.5226                      -9.6607897
                 12.5405                      -9.6484759
                 12.5584                      -9.6331867
                 12.5763                      -9.6150661
                 12.5942                      -9.5942647
                 12.6121                      -9.5709267
                   12.63                      -9.5452005
                 12.6479                      -9.5172263
                 12.6658                      -9.4871437
                 12.6837                      -9.4550932
                 12.7016                      -9.4212066
                 12.7195                      -9.3856118
                 12.7374                      -9.3484342
                 12.7553                       -9.309795
                 12.7732                        -9.26981
                 12.7911                      -9.2285899
                  12.809                      -9.1862404
                 12.8269                      -9.1428641
                 12.8448                       -9.098559
                 12.8627                      -9.0534176
                 12.8806                       -9.007528
                 12.8985                      -8.9609742
                 12.9164                      -8.9138363
                 12.9343                      -8.8661906
                 12.9522                      -8.8181082
                 12.9701                      -8.7696591
                  12.988                      -8.7209059
                 13.0059                      -8.6719113
                 13.0238                      -8.6227332
                 13.0417                      -8.5734253
                 13.0596                      -8.5240384
                 13.0775                      -8.4746235
                 13.0954                      -8.4252227
                 13.1133                      -8.3758809
                 13.1312                      -8.3266352
                 13.1491                      -8.2775255
                  13.167                      -8.2285844
                 13.1849                      -8.1798432
                 13.2028                      -8.1313324
                 13.2207                      -8.0830781
                 13.2386                      -8.0351059
                 13.2565                       -7.987437
                 13.2744                      -7.9400909
                 13.2923                      -7.8930874
                 13.3102                      -7.8464409
                 13.3281                      -7.8001651
                  13.346                      -7.7542735
                 13.3639                      -7.7087744
                 13.3818                      -7.6636766
                 13.3997                      -7.6189883
                 13.4176                      -7.5747137
                 13.4355                      -7.5308553
                 13.4534                      -7.4874171
                 13.4713                      -7.4444009
                 13.4892                      -7.4018049
                 13.5071                      -7.3596289
                  13.525                      -7.3178717
                 13.5429                      -7.2765287
                 13.5608                      -7.2355978
                 13.5787                      -7.1950739
                 13.5966                      -7.1549525
                 13.6145                      -7.1152278
                 13.6324                       -7.075896
                 13.6503                      -7.0369496
                 13.6682                      -6.9983837
                 13.6861                      -6.9601922
                  13.704                      -6.9223686
                 13.7219                      -6.8849073
                 13.7398                      -6.8478036
                 13.7577                      -6.8110511
                 13.7756                      -6.7746437
                 13.7935                      -6.7385776
                 13.8114                      -6.7028485
                 13.8293                      -6.6674523
                 13.8472                      -6.6323844
                 13.8651                      -6.5976412
                  13.883                      -6.5632207
                 13.9009                       -6.529121
                 13.9188                       -6.495338
                 13.9367                       -6.461872
                 13.9546                      -6.4287207
                 13.9725                      -6.3958827
                 13.9904                      -6.3633573
                 14.0083                      -6.3311444
                 14.0262                      -6.2992445
                 14.0441                      -6.2676558
                  14.062                      -6.2363799
                 14.0799                      -6.2054158
                 14.0978                      -6.1747645
                 14.1157                      -6.1444246
                 14.1336                      -6.1143976
                 14.1515                      -6.0846824
                 14.1694                      -6.0552782
                 14.1873                      -6.0261854
